company,rank,revenue,sector,city,state
Acuity Brands,899,2394,Industrials,Atlanta,GA
Teledyne Technologies,898,2394,Technology,Thousand Oaks,CA
Trimble Navigation,897,2396,Technology,Sunnyvale,CA
Boston Properties,896,2397,Financials,Boston,MA
KB Home,895,2401,Engineering & Construction,Los Angeles,CA
Ferrellgas Partners,894,2406,Energy,Overland Park,KS
HealthSouth,893,2406,Health Care,Birmingham,AL
Post Holdings,892,2411,"Food, Beverages & Tobacco",St. Louis,MO
Guess,891,2418,Apparel,Los Angeles,CA
Mutual of America Life Insurance,890,2420,Financials,New York,NY
Cimarex Energy,889,2424,Energy,Denver,CO
Denbury Resources,888,2435,Energy,Plano,TX
CalAtlantic Group,887,2435,Engineering & Construction,Irvine,CA
Equifax,886,2436,Business Services,Atlanta,GA
Mednax,885,2439,Health Care,Sunrise,FL
Equinix,884,2444,Telecommunications,Redwood City,CA
A. Schulman,883,2448,Chemicals,Fairlawn,OH
OGE Energy,882,2453,Energy,Oklahoma City,OK
Maxim Integrated Products,881,2454,Technology,San Jose,CA
Applied Industrial Technologies,880,2460,Wholesalers,Cleveland,OH
Boyd Gaming,815,2701,"Hotels, Resturants & Leisure",Las Vegas,NV
Medical Mutual of Ohio,879,2460,Financials,Cleveland,OH
ServiceMaster Global Holdings,878,2463,Business Services,Memphis,TN
Total System Services,877,2463,Business Services,Columbus,GA
PC Connection,876,2463,Retailing,Merrimack,NH
Monster Beverage,875,2465,"Food, Beverages & Tobacco",Corona,CA
EQT,874,2470,Energy,Pittsburgh,PA
Donaldson,873,2474,Industrials,Minneapolis,MN
EnerSys,872,2474,Industrials,Reading,PA
Momentive Performance Materials,871,2476,Chemicals,Waterford,NY
Tetra Tech,870,2484,Engineering & Construction,Pasadena,CA
SunEdison,869,2484,Technology,Maryland Heights,MO
Mettler-Toledo International,868,2486,Technology,Columbus,OH
Vishay Intertechnology,867,2493,Technology,Malvern,PA
DSW,866,2496,Retailing,Columbus,OH
Dynegy,865,2497,Energy,Houston,TX
Tops Holding,864,2508,Food & Drug Stores,Williamsville,NY
Affiliated Managers Group,863,2511,Financials,Prides Crossing,MA
Autodesk,862,2512,Technology,San Rafael,CA
PriceSmart,861,2518,Retailing,San Diego,CA
Paychex,860,2519,Business Services,Rochester,NY
SM Energy,859,2522,Energy,Denver,CO
AOL,858,2527,Technology,New York,NY
Panera Bread,857,2529,"Hotels, Resturants & Leisure",St. Louis,MO
Hologic,856,2531,Health Care,Bedford,MA
ANN,855,2534,Retailing,New York,NY
Universal,854,2542,"Food, Beverages & Tobacco",Richmond,VA
