company,rank,revenue,sector,city,state
"ArvinMeritor, Inc.",301,8778.00,Motor Vehicles and Parts,Troy,MI
"Smith International, Inc.",302,8764.30,"Oil and Gas Equipment, Services",Houston,TX
Commercial Metals Company,303,8751.20,Metals,Irving,TX
"Hertz Global Holdings, Inc.",304,8685.60,"Automotive Retailing, Services",Park Ridge,NJ
Monsanto Company,305,8607.00,Chemicals,St. Louis,MO
"CIT Group, Inc.",306,8605.00,Diversified Financials,New York,NY
The Sherwin-Williams Company,316,8005.30,Chemicals,Cleveland,OH
Energy Future Holdings Corp.,317,7992.00,Energy,Dallas,TX
Calpine Corporation,318,7970.00,Energy,San Jose,CA
NiSource Inc.,319,7941.50,Utilities: Gas and Electric,Merrillville,IN
Campbell Soup Co.,320,7883.00,Food Consumer Products,Camden,NJ
KeyCorp,321,7873.00,Commercial Banks,Cleveland,OH
Ashland Inc.,322,7834.00,Chemicals,Covington,KY
Fifth Third Bancorp,307,8494.00,Commercial Banks,Cincinnati,OH
Jacobs Engineering Group Inc.,308,8474.00,"Engineering, Construction",Pasadena,CA
"Assurant, Inc.",309,8453.50,Insurance: Property and Casualty (Stock),New York,NY
Boston Scientific Corporation,310,8357.00,Medical Products and Equipment,Natick,MA
"Owens-Illinois, Inc.",314,8134.10,"Packaging, Containers",Perrysburg,OH
First Data Corporation,315,8051.40,Financial Data Services,Greenwood Village,CO
"Fortune Brands, Inc.",311,8291.40,"Home Equipment, Furnishings",Deerfield,IL
The First American Corporation,312,8195.60,Insurance: Property and Casualty (Stock),Santa Ana,CA
Virgin Media Inc.,313,8152.50,Telecommunications,New York,NY
"Gannett Co., Inc.",332,7480.50,"Publishing, Printing",McLean,VA
"CarMax, Inc.",333,7465.70,"Automotive Retailing, Services",Richmond,VA
Smurfit-Stone Container Corporation,334,7420.00,"Packaging, Containers",Chicago,IL
V.F. Corporation,335,7415.50,Apparel,Greensboro,NC
MGM MIRAGE,323,7820.30,"Hotels, Casinos, Resorts",Las Vegas,NV
Chesapeake Energy Corporation,324,7800.00,"Mining, Crude-Oil Production",Oklahoma City,OK
eBay Inc.,326,7672.30,Internet Services and Retailing,San Jose,CA
"Community Health Systems, Inc.",330,7545.20,Health Care: Medical Facilities,Franklin,TN
Dover Corporation,331,7487.20,Industrial and Farm Equipment,New York,NY
Ball Corporation,336,7389.70,"Packaging, Containers",Broomfield,CO
Eastman Chemical Company,337,7372.00,Chemicals,Kingsport,TN
"Crown Holdings, Inc.",325,7727.00,"Packaging, Containers",Philadelphia,PA
Pilgrim's Pride Corporation,327,7598.60,Food Production,Pittsburg,TX
"Mohawk Industries, Inc.",328,7586.00,zMiscellaneous,Calhoun,GA
Ameren Corporation,329,7546.00,Utilities: Gas and Electric,St. Louis,MO
Reliance Steel &amp; Aluminum Co.,345,7265.60,Wholesalers: Diversified,Los Angeles,CA
"Winn-Dixie Stores, Inc.",347,7225.30,Food and Drug Stores,Jacksonville,FL
GameStop Corp.,348,7094.00,Specialty Retailers,Grapevine,TX
Synnex Corp.,350,7004.10,Wholesalers: Electronics and Office Equipment,Fremont,CA
"Clear Channel Communications, Inc.",339,7363.50,Entertainment,San Antonio,TX
KB Home,340,7328.40,Homebuilders,Los Angeles,CA
"C. H. Robinson Worldwide, Inc.",341,7316.20,Transportation and Logistics,Eden Prairie,MN
"Western Refining, Inc.",342,7305.00,Petroleum Refining,El Paso,TX
"Enbridge Energy Partners, L.P.",343,7282.60,Pipelines,Houston,TX
"Targa Resources, Inc.",344,7269.70,Pipelines,Houston,TX
PPL Corporation,346,7245.00,Utilities: Gas and Electric,Allentown,PA
Dillard's Inc.,338,7370.80,General Merchandisers,Little Rock,AR
"Dole Food Company, Inc.",354,6944.60,Food Consumer Products,Westlake Village,CA
MeadWestvaco Corporation,356,6906.00,"Packaging, Containers",Glen Allen,VA
"The Great Atlantic &amp; Pacific Tea Company, Inc.",357,6850.30,Food and Drug Stores,Montvale,NJ
"Family Dollar Stores, Inc.",358,6834.30,General Merchandisers,Matthews,NC
AGCO Corporation,359,6828.10,Industrial and Farm Equipment,Duluth,GA
"Owens &amp; Minor, Inc.",360,6800.50,Wholesalers: Health Care,Mechanicsville,VA
Yahoo! Inc.,353,6969.30,Internet Services and Retailing,Sunnyvale,CA
Federal-Mogul Corporation,355,6913.90,Motor Vehicles and Parts,Southfield,MI
AK Steel Holding Corporation,351,7003.00,Metals,West Chester,OH
American Family Ins. Group,352,6969.40,Insurance: Property and Casualty (Stock),Madison,WI
IAC/INTERACTIVECORP,370,6566.10,Internet Services and Retailing,New York,NY
"Ryder System, Inc.",371,6566.00,"Trucking, Truck Leasing",Miami,FL
"Energy Transfer Equity, L.P.",361,6792.00,Pipelines,Dallas,TX
Celanese Corporation,367,6641.00,Chemicals,Dallas,TX
"Bed Bath &amp; Beyond, Inc.",368,6617.40,Specialty Retailers,Union,NJ
"Whole Foods Market, Inc.",369,6591.80,Food and Drug Stores,Austin,TX
