0,1,2,3,4,5
"{'key': 'rank', 'value': '799'}","{'key': 'revenues', 'value': '2469.60'}","{'key': 'industry', 'value': 'Food Consumer Products'}","{'key': 'hqCity', 'value': 'Parsippany'}","{'key': 'hqState', 'value': 'NJ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Pinnacle Foods Finance LLC'}"
"{'key': 'rank', 'value': '800'}","{'key': 'revenues', 'value': '2457.90'}","{'key': 'industry', 'value': 'Health Care: Medical Facilities'}","{'key': 'hqCity', 'value': 'Brentwood'}","{'key': 'hqState', 'value': 'TN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Brookdale Senior Living Inc.'}"
"{'key': 'rank', 'value': '784'}","{'key': 'revenues', 'value': '2567.00'}","{'key': 'industry', 'value': 'Oil and Gas Equipment, Services'}","{'key': 'hqCity', 'value': 'Houston'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Patterson-UTI Energy, Inc.'}"
"{'key': 'rank', 'value': '785'}","{'key': 'revenues', 'value': '2564.50'}","{'key': 'industry', 'value': 'Building Materials, Glass'}","{'key': 'hqCity', 'value': 'Birmingham'}","{'key': 'hqState', 'value': 'AL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Vulcan Materials Company'}"
"{'key': 'rank', 'value': '786'}","{'key': 'revenues', 'value': '2545.90'}","{'key': 'industry', 'value': 'Industrial Machinery'}","{'key': 'hqCity', 'value': 'Stamford'}","{'key': 'hqState', 'value': 'CT'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Crane Co.'}"
"{'key': 'rank', 'value': '787'}","{'key': 'revenues', 'value': '2543.90'}","{'key': 'industry', 'value': 'Oil and Gas Equipment, Services'}","{'key': 'hqCity', 'value': 'Tulsa'}","{'key': 'hqState', 'value': 'OK'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Helmerich & Payne, Inc.'}"
"{'key': 'rank', 'value': '788'}","{'key': 'revenues', 'value': '2537.70'}","{'key': 'industry', 'value': 'Medical Products and Equipment'}","{'key': 'hqCity', 'value': 'York'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'DENTSPLY International Inc.'}"
"{'key': 'rank', 'value': '789'}","{'key': 'revenues', 'value': '2533.60'}","{'key': 'industry', 'value': 'Insurance: Property and Casualty (Stock)'}","{'key': 'hqCity', 'value': 'Chicago'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Kemper Corporation'}"
"{'key': 'rank', 'value': '790'}","{'key': 'revenues', 'value': '2533.10'}","{'key': 'industry', 'value': 'Wholesalers: Food and Grocery'}","{'key': 'hqCity', 'value': 'Grand Rapids'}","{'key': 'hqState', 'value': 'MI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Spartan Stores, Inc.'}"
"{'key': 'rank', 'value': '791'}","{'key': 'revenues', 'value': '2513.40'}","{'key': 'industry', 'value': 'Apparel'}","{'key': 'hqCity', 'value': 'New York'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'The Warnaco Group, Inc.'}"
"{'key': 'rank', 'value': '792'}","{'key': 'revenues', 'value': '2505.00'}","{'key': 'industry', 'value': 'Chemicals'}","{'key': 'hqCity', 'value': 'St. Louis'}","{'key': 'hqState', 'value': 'MO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Sigma-Aldrich Corporation'}"
"{'key': 'rank', 'value': '793'}","{'key': 'revenues', 'value': '2499.80'}","{'key': 'industry', 'value': 'Aerospace and Defense'}","{'key': 'hqCity', 'value': 'Wellington'}","{'key': 'hqState', 'value': 'FL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'BE Aerospace, Inc.'}"
"{'key': 'rank', 'value': '794'}","{'key': 'revenues', 'value': '2497.80'}","{'key': 'industry', 'value': 'Commercial Banks'}","{'key': 'hqCity', 'value': 'Hato Rey'}","{'key': 'hqState', 'value': 'PR'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Popular, Inc.'}"
"{'key': 'rank', 'value': '795'}","{'key': 'revenues', 'value': '2491.30'}","{'key': 'industry', 'value': 'Diversified Outsourcing Services'}","{'key': 'hqCity', 'value': 'Omaha'}","{'key': 'hqState', 'value': 'NE'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'West Corporation'}"
"{'key': 'rank', 'value': '796'}","{'key': 'revenues', 'value': '2473.80'}","{'key': 'industry', 'value': 'Specialty Retailers: Apparel'}","{'key': 'hqCity', 'value': 'Philadelphia'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Urban Outfitters, Inc.'}"
"{'key': 'rank', 'value': '797'}","{'key': 'revenues', 'value': '2472.30'}","{'key': 'industry', 'value': 'Semiconductors and Other Electronic Components'}","{'key': 'hqCity', 'value': 'Sunnyvale'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Maxim Integrated Products, Inc.'}"
"{'key': 'rank', 'value': '798'}","{'key': 'revenues', 'value': '2471.00'}","{'key': 'industry', 'value': 'Mining, Crude-Oil Production'}","{'key': 'hqCity', 'value': 'The Woodlands'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Newfield Exploration Company'}"
"{'key': 'rank', 'value': '768'}","{'key': 'revenues', 'value': '2637.00'}","{'key': 'industry', 'value': 'Chemicals'}","{'key': 'hqCity', 'value': 'Albany'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Momentive Performance Materials Inc.'}"
"{'key': 'rank', 'value': '769'}","{'key': 'revenues', 'value': '2630.00'}","{'key': 'industry', 'value': 'Insurance: Property and Casualty (Stock)'}","{'key': 'hqCity', 'value': 'Glen Allen'}","{'key': 'hqState', 'value': 'VA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Markel Corporation'}"
"{'key': 'rank', 'value': '770'}","{'key': 'revenues', 'value': '2620.10'}","{'key': 'industry', 'value': 'Packaging, Containers'}","{'key': 'hqCity', 'value': 'Lake Forest'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Packaging Corporation of America'}"
"{'key': 'rank', 'value': '771'}","{'key': 'revenues', 'value': '2611.00'}","{'key': 'industry', 'value': 'zMiscellaneous'}","{'key': 'hqCity', 'value': 'Greenwich'}","{'key': 'hqState', 'value': 'CT'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'United Rentals, Inc.'}"
"{'key': 'rank', 'value': '772'}","{'key': 'revenues', 'value': '2602.50'}","{'key': 'industry', 'value': 'Specialty Retailers: Apparel'}","{'key': 'hqCity', 'value': 'St. Louis'}","{'key': 'hqState', 'value': 'MO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Brown Shoe Company, Inc.'}"
"{'key': 'rank', 'value': '773'}","{'key': 'revenues', 'value': '2601.00'}","{'key': 'industry', 'value': 'Commercial Banks'}","{'key': 'hqCity', 'value': 'Dallas'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Comerica Incorporated'}"
"{'key': 'rank', 'value': '774'}","{'key': 'revenues', 'value': '2596.70'}","{'key': 'industry', 'value': 'Medical Products and Equipment'}","{'key': 'hqCity', 'value': 'Palo Alto'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Varian Medical Systems, Inc.'}"
"{'key': 'rank', 'value': '775'}","{'key': 'revenues', 'value': '2594.00'}","{'key': 'industry', 'value': 'Semiconductors and Other Electronic Components'}","{'key': 'hqCity', 'value': 'Malvern'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Vishay Intertechnology, Inc.'}"
"{'key': 'rank', 'value': '776'}","{'key': 'revenues', 'value': '2586.00'}","{'key': 'industry', 'value': 'Beverages'}","{'key': 'hqCity', 'value': 'Louisville'}","{'key': 'hqState', 'value': 'KY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Brown-Forman Corporation'}"
"{'key': 'rank', 'value': '777'}","{'key': 'revenues', 'value': '2585.00'}","{'key': 'industry', 'value': 'Household and Personal Products'}","{'key': 'hqCity', 'value': 'Orlando'}","{'key': 'hqState', 'value': 'FL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Tupperware Brands Corporation'}"
"{'key': 'rank', 'value': '777'}","{'key': 'revenues', 'value': '2585.00'}","{'key': 'industry', 'value': 'Motor Vehicles and Parts'}","{'key': 'hqCity', 'value': 'Detroit'}","{'key': 'hqState', 'value': 'MI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'American Axle & Manufacturing Holdings, Inc.'}"
"{'key': 'rank', 'value': '779'}","{'key': 'revenues', 'value': '2580.60'}","{'key': 'industry', 'value': 'Automotive Retailing, Services'}","{'key': 'hqCity', 'value': 'New Braunfels'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Rush Enterprises, Inc.'}"
