company,rank,revenue,sector,city,state
Public Storage,996,1826.7,zMiscellaneous,,CA
"Titan International, Inc.",997,1820.7,Construction and Farm Machinery,,IL
"MEDNAX, Inc.",998,1816.6,Health Care: Pharmacy and Other Services,,FL
"The Children's Place Retail Stores, Inc.",999,1809.5,Specialty Retailers: Apparel,,NJ
"AmTrust Financial Services, Inc.",986,1865.2,Insurance: Property and Casualty (Stock),,NY
"Vantiv, Inc.",987,1863.2,Financial Data Services,,OH
Griffon Corp.,988,1861.1,"Home Equipment, Furnishings",,NY
"Michael Foods Group, Inc",989,1856.1,Food Consumer Products,,MN
Penn Mutual Life Insurance Co.,990,1848.8,"Insurance: Life, Health (stock)",,PA
Waters Corporation,991,1843.6,"Scientific,Photographic and Control Equipment",,MA
"Under Armour, Inc.",992,1834.9,Apparel,,MD
Ciena Corporation,993,1833.9,Network and Other Communications Equipment,,MD
PharMerica Corporation,994,1832.6,Health Care: Pharmacy and Other Services,,KY
"Weight Watchers International, Inc.",995,1826.8,Specialty Retailers: Other,,NY
Edwards Lifesciences Corporation,976,1899.6,Medical Products and Equipment,,CA
Amica Mutual Insurance Co.,977,1893.6,Insurance: Property and Casualty (Mutual),,RI
Lehigh Gas Partners LP,978,1888.3,Wholesalers: Diversified,,PA
"Toll Brothers, Inc.",979,1882.8,Homebuilders,,PA
"Boston Properties, Inc.",980,1879.8,Real estate,,MA
Clearwater Paper Corporation,981,1874.3,Household and Personal Products,,WA
"Total System Services, Inc.",982,1871,Financial Data Services,,GA
Zale Corporation,983,1866.9,Specialty Retailers: Other,,TX
"VeriFone Systems, Inc.",984,1866,"Computers, Office Equipment",,CA
"Woodward, Inc.",985,1865.6,Aerospace and Defense,,CO
Southwest Gas Corporation,965,1927.8,Utilities: Gas and Electric,,NV
"Equinix, Inc.",966,1925.4,Telecommunications,,CA
Patriot Coal Corporation,967,1922.7,"Mining, Crude-Oil Production",,MO
"Tower Group, Inc.",968,1922.6,Insurance: Property and Casualty (Stock),,NY
USEC Inc.,969,1918.1,Energy,,MD
