0,1,2,3,4,5,6,7,8,9,10,11,12,13
"{'key': 'rank', 'value': '49'}","{'key': 'revenues', 'value': '55656'}","{'key': 'revChange', 'value': '-15.5'}","{'key': 'profits', 'value': '3789'}","{'key': 'prftChange', 'value': '-33.3'}","{'key': 'assets', 'value': '84896'}","{'key': 'totSHEqty', 'value': '20811'}","{'key': 'mktVal', 'value': '63380'}","{'key': 'prftPctSls', 'value': '6.8'}","{'key': 'prftPctAsts', 'value': '4.5'}","{'key': 'prftPctSHEqty', 'value': '18.2'}","{'key': 'industry', 'value': 'Construction and Farm Machinery'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Caterpillar'}"
"{'key': 'rank', 'value': '50'}","{'key': 'revenues', 'value': '55438'}","{'key': 'revChange', 'value': '2.4'}","{'key': 'profits', 'value': '4372'}","{'key': 'prftChange', 'value': '441.8'}","{'key': 'assets', 'value': '36212'}","{'key': 'totSHEqty', 'value': '6474'}","{'key': 'mktVal', 'value': '89525'}","{'key': 'prftPctSls', 'value': '7.9'}","{'key': 'prftPctAsts', 'value': '12.1'}","{'key': 'prftPctSHEqty', 'value': '67.5'}","{'key': 'industry', 'value': 'Mail, Package, and Freight Delivery'}","{'key': 'hqState', 'value': 'GA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'United Parcel Service'}"
"{'key': 'rank', 'value': '48'}","{'key': 'revenues', 'value': '57080'}","{'key': 'revChange', 'value': '0.5'}","{'key': 'profits', 'value': '4787'}","{'key': 'prftChange', 'value': '305'}","{'key': 'assets', 'value': '69501'}","{'key': 'totSHEqty', 'value': '26898'}","{'key': 'mktVal', 'value': '59077'}","{'key': 'prftPctSls', 'value': '8.4'}","{'key': 'prftPctAsts', 'value': '6.9'}","{'key': 'prftPctSHEqty', 'value': '17.8'}","{'key': 'industry', 'value': 'Chemicals'}","{'key': 'hqState', 'value': 'MI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Dow Chemical'}"
"{'key': 'rank', 'value': '46'}","{'key': 'revenues', 'value': '60629'}","{'key': 'revChange', 'value': '16.1'}","{'key': 'profits', 'value': '12920'}","{'key': 'prftChange', 'value': '20.3'}","{'key': 'assets', 'value': '110920'}","{'key': 'totSHEqty', 'value': '87309'}","{'key': 'mktVal', 'value': '375416'}","{'key': 'prftPctSls', 'value': '21.3'}","{'key': 'prftPctAsts', 'value': '11.6'}","{'key': 'prftPctSHEqty', 'value': '14.8'}","{'key': 'industry', 'value': 'Internet Services and Retailing'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Google'}"
"{'key': 'rank', 'value': '47'}","{'key': 'revenues', 'value': '59433'}","{'key': 'revChange', 'value': '-6.2'}","{'key': 'profits', 'value': '9156'}","{'key': 'prftChange', 'value': '8.6'}","{'key': 'assets', 'value': '118057'}","{'key': 'totSHEqty', 'value': '52090'}","{'key': 'mktVal', 'value': '86256'}","{'key': 'prftPctSls', 'value': '15.4'}","{'key': 'prftPctAsts', 'value': '7.8'}","{'key': 'prftPctSHEqty', 'value': '17.6'}","{'key': 'industry', 'value': 'Mining, Crude-Oil Production'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'ConocoPhillips'}"
"{'key': 'rank', 'value': '44'}","{'key': 'revenues', 'value': '64657'}","{'key': 'revChange', 'value': '3.3'}","{'key': 'profits', 'value': '6816'}","{'key': 'prftChange', 'value': '9.9'}","{'key': 'assets', 'value': '158813'}","{'key': 'totSHEqty', 'value': '50694'}","{'key': 'mktVal', 'value': '130431'}","{'key': 'prftPctSls', 'value': '10.5'}","{'key': 'prftPctAsts', 'value': '4.3'}","{'key': 'prftPctSHEqty', 'value': '13.4'}","{'key': 'industry', 'value': 'Telecommunications'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Comcast'}"
"{'key': 'rank', 'value': '45'}","{'key': 'revenues', 'value': '62935'}","{'key': 'revChange', 'value': '5.3'}","{'key': 'profits', 'value': '5721'}","{'key': 'prftChange', 'value': '11.5'}","{'key': 'assets', 'value': '90594'}","{'key': 'totSHEqty', 'value': '31866'}","{'key': 'mktVal', 'value': '106936'}","{'key': 'prftPctSls', 'value': '9.1'}","{'key': 'prftPctAsts', 'value': '6.3'}","{'key': 'prftPctSHEqty', 'value': '18'}","{'key': 'industry', 'value': 'Aerospace and Defense'}","{'key': 'hqState', 'value': 'CT'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'United Technologies'}"
"{'key': 'rank', 'value': '43'}","{'key': 'revenues', 'value': '66415'}","{'key': 'revChange', 'value': '1.4'}","{'key': 'profits', 'value': '6740'}","{'key': 'prftChange', 'value': '9.1'}","{'key': 'assets', 'value': '77478'}","{'key': 'totSHEqty', 'value': '24279'}","{'key': 'mktVal', 'value': '128267'}","{'key': 'prftPctSls', 'value': '10.1'}","{'key': 'prftPctAsts', 'value': '8.7'}","{'key': 'prftPctSHEqty', 'value': '27.8'}","{'key': 'industry', 'value': 'Food Consumer Products'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'PepsiCo'}"
"{'key': 'rank', 'value': '42'}","{'key': 'revenues', 'value': '68202'}","{'key': 'revChange', 'value': ''}","{'key': 'profits', 'value': '3368'}","{'key': 'prftChange', 'value': '154.4'}","{'key': 'assets', 'value': '885296'}","{'key': 'totSHEqty', 'value': '61553'}","{'key': 'mktVal', 'value': '59322'}","{'key': 'prftPctSls', 'value': '4.9'}","{'key': 'prftPctAsts', 'value': '0.4'}","{'key': 'prftPctSHEqty', 'value': '5.5'}","{'key': 'industry', 'value': 'Insurance: Life, Health (stock)'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'MetLife'}"
"{'key': 'rank', 'value': '41'}","{'key': 'revenues', 'value': '68291'}","{'key': 'revChange', 'value': '4.6'}","{'key': 'profits', 'value': '5189'}","{'key': 'prftChange', 'value': '64.3'}","{'key': 'assets', 'value': '224694'}","{'key': 'totSHEqty', 'value': '75900'}","{'key': 'mktVal', 'value': ''}","{'key': 'prftPctSls', 'value': '7.6'}","{'key': 'prftPctAsts', 'value': '2.3'}","{'key': 'prftPctSHEqty', 'value': '6.8'}","{'key': 'industry', 'value': 'Insurance: Property and Casualty (Mutual)'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'State Farm Insurance Cos.'}"
