0,1,2,3,4,5
"{'key': 'rank', 'value': '977'}","{'key': 'revenues', 'value': '1764.40'}","{'key': 'industry', 'value': 'Medical Products and Equipment'}","{'key': 'hqCity', 'value': 'Hercules'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Bio-Rad Laboratories, Inc.'}"
"{'key': 'rank', 'value': '978'}","{'key': 'revenues', 'value': '1764.20'}","{'key': 'industry', 'value': 'Building Materials, Glass'}","{'key': 'hqCity', 'value': 'Houston'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'NCI Building Systems, Inc.'}"
"{'key': 'rank', 'value': '979'}","{'key': 'revenues', 'value': '1762.00'}","{'key': 'industry', 'value': 'Computer Software'}","{'key': 'hqCity', 'value': 'Miamisburg'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Teradata Corporation'}"
"{'key': 'rank', 'value': '980'}","{'key': 'revenues', 'value': '1760.10'}","{'key': 'industry', 'value': 'Diversified Outsourcing Services'}","{'key': 'hqCity', 'value': 'Arlington'}","{'key': 'hqState', 'value': 'VA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Watson Wyatt Worldwide'}"
"{'key': 'rank', 'value': '981'}","{'key': 'revenues', 'value': '1759.50'}","{'key': 'industry', 'value': 'Specialty Retailers'}","{'key': 'hqCity', 'value': 'Secaucus'}","{'key': 'hqState', 'value': 'NJ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': ""The Children's Place Retail Stores, Inc.""}"
"{'key': 'rank', 'value': '982'}","{'key': 'revenues', 'value': '1758.50'}","{'key': 'industry', 'value': 'Home Equipment, Furnishings'}","{'key': 'hqCity', 'value': 'St. Louis'}","{'key': 'hqState', 'value': 'MO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Furniture Brands International, Inc.'}"
"{'key': 'rank', 'value': '983'}","{'key': 'revenues', 'value': '1755.70'}","{'key': 'industry', 'value': 'Medical Products and Equipment'}","{'key': 'hqCity', 'value': 'Elyria'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Invacare Corporation'}"
"{'key': 'rank', 'value': '984'}","{'key': 'revenues', 'value': '1755.40'}","{'key': 'industry', 'value': 'Diversified Financials'}","{'key': 'hqCity', 'value': 'New York'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': ""Moody's Corporation""}"
"{'key': 'rank', 'value': '985'}","{'key': 'revenues', 'value': '1753.70'}","{'key': 'industry', 'value': 'Specialty Retailers'}","{'key': 'hqCity', 'value': 'Merrimack'}","{'key': 'hqState', 'value': 'NH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'PC Connection, Inc.'}"
"{'key': 'rank', 'value': '986'}","{'key': 'revenues', 'value': '1745.60'}","{'key': 'industry', 'value': 'zMiscellaneous'}","{'key': 'hqCity', 'value': 'Glendale'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Public Storage, Inc.'}"
