0,1,2,3,4,5,6
"{'key': 'rank', 'value': '303'}","{'key': 'fullName', 'value': 'Ross Stores, Inc.'}","{'key': 'revenues', 'value': '7866.10'}","{'key': 'industry', 'value': 'Specialty Retailers: Apparel'}","{'key': 'hqCity', 'value': 'Pleasanton'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Ross Stores, Inc.'}"
"{'key': 'rank', 'value': '301'}","{'key': 'fullName', 'value': 'Crown Holdings, Inc.'}","{'key': 'revenues', 'value': '7941.00'}","{'key': 'industry', 'value': 'Packaging, Containers'}","{'key': 'hqCity', 'value': 'Philadelphia'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Crown Holdings, Inc.'}"
"{'key': 'rank', 'value': '302'}","{'key': 'fullName', 'value': 'Family Dollar Stores, Inc.'}","{'key': 'revenues', 'value': '7867.00'}","{'key': 'industry', 'value': 'General Merchandisers'}","{'key': 'hqCity', 'value': 'Matthews'}","{'key': 'hqState', 'value': 'NC'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Family Dollar Stores, Inc.'}"
"{'key': 'rank', 'value': '308'}","{'key': 'fullName', 'value': 'The Sherwin-Williams Company'}","{'key': 'revenues', 'value': '7776.40'}","{'key': 'industry', 'value': 'Chemicals'}","{'key': 'hqCity', 'value': 'Cleveland'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'The Sherwin-Williams Company'}"
"{'key': 'rank', 'value': '309'}","{'key': 'fullName', 'value': 'Enbridge Energy Partners, L.P.'}","{'key': 'revenues', 'value': '7736.10'}","{'key': 'industry', 'value': 'Pipelines'}","{'key': 'hqCity', 'value': 'Houston'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Enbridge Energy Partners, L.P.'}"
"{'key': 'rank', 'value': '306'}","{'key': 'fullName', 'value': 'Global Partners LP'}","{'key': 'revenues', 'value': '7801.60'}","{'key': 'industry', 'value': 'Energy'}","{'key': 'hqCity', 'value': 'Waltham'}","{'key': 'hqState', 'value': 'MA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Global Partners LP'}"
"{'key': 'rank', 'value': '317'}","{'key': 'fullName', 'value': 'Henry Schein, Inc.'}","{'key': 'revenues', 'value': '7526.80'}","{'key': 'industry', 'value': 'Wholesalers: Health Care'}","{'key': 'hqCity', 'value': 'Melville'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Henry Schein, Inc.'}"
"{'key': 'rank', 'value': '305'}","{'key': 'fullName', 'value': 'Boston Scientific Corporation'}","{'key': 'revenues', 'value': '7806.00'}","{'key': 'industry', 'value': 'Medical Products and Equipment'}","{'key': 'hqCity', 'value': 'Natick'}","{'key': 'hqState', 'value': 'MA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Boston Scientific Corporation'}"
"{'key': 'rank', 'value': '304'}","{'key': 'fullName', 'value': 'Bed Bath &amp; Beyond, Inc.'}","{'key': 'revenues', 'value': '7828.80'}","{'key': 'industry', 'value': 'Specialty Retailers: Other'}","{'key': 'hqCity', 'value': 'Union'}","{'key': 'hqState', 'value': 'NJ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Bed Bath &amp; Beyond, Inc.'}"
"{'key': 'rank', 'value': '316'}","{'key': 'fullName', 'value': 'Becton, Dickinson and Company'}","{'key': 'revenues', 'value': '7540.10'}","{'key': 'industry', 'value': 'Medical Products and Equipment'}","{'key': 'hqCity', 'value': 'Franklin Lakes'}","{'key': 'hqState', 'value': 'NJ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Becton, Dickinson and Company'}"
