company,rank,revenue,sector,city,state
Delta Air Lines,113,29899,Transportation,Atlanta,GA
American Airlines Group,114,29882,Transportation,Fort Worth,TX
Netflix,115,29697.8,Media,Los Gatos,CA
Paramount Global,116,29579,Media,New York,NY
US Foods Holding,117,29487,Wholesalers,Rosemont,IL
Danaher,118,29453,Health Care,Washington,DC
Jabil,119,29285,Technology,St. Petersburg,FL
Starbucks,120,29060.6,"Hotels, Restaurants & Leisure",Seattle,WA
Mondelez International,121,28720,"Food, Beverages & Tobacco",Chicago,IL
TD Synnex,109,31614.2,Wholesalers,Fremont,CA
Philip Morris International,110,31405,"Food, Beverages & Tobacco",New York,NY
World Fuel Services,111,31337,Energy,Miami,FL
Performance Food Group,112,30398.9,Wholesalers,Richmond,VA
Qualcomm,107,33566,Technology,San Diego,CA
Capital One Financial,108,32033,Financials,McLean,VA
CarMax,174,20092.1,Retailing,Richmond,VA
3M,102,35355,Chemicals,St. Paul,MN
Travelers,103,34816,Financials,New York,NY
Arrow Electronics,104,34477,Wholesalers,Centennial,CO
Honeywell International,105,34392,Industrials,Charlotte,NC
Dollar General,106,34220.4,Retailing,Goodlettsville,TN
USAA,96,37469.6,Financials,San Antonio,TX
Northwestern Mutual,97,36751.2,Financials,Milwaukee,WI
Nucor,98,36483.9,Materials,Charlotte,NC
Exelon,99,36347,Energy,Chicago,IL
Massachusetts Mutual Life Insurance,100,35899.5,Financials,Springfield,MA
Northrop Grumman,101,35667,Aerospace & Defense,Falls Church,VA
Thermo Fisher Scientific,92,39211,Technology,Waltham,MA
Coca-Cola,93,38655,"Food, Beverages & Tobacco",Atlanta,GA
General Dynamics,94,38469,Aerospace & Defense,Reston,VA
CHS,95,38448,"Food, Beverages & Tobacco",Inver Grove Heights,MN
Abbott Laboratories,86,43075,Health Care,Abbott Park,IL
StoneX Group,87,42534.2,Financials,New York,NY
Plains GP Holdings,88,42078,Energy,Houston,TX
Enterprise Products Partners,89,40806.9,Energy,Houston,TX
TIAA,90,40526.4,Financials,New York,NY
Oracle,91,40479,Technology,Austin,TX
Bristol-Myers Squibb,82,46385,Health Care,New York,NY
Nike,83,44538,Apparel,Beaverton,OR
Deere,84,44024,Industrials,Moline,IL
American Express,85,43663,Financials,New York,NY
TJX,75,48550,Retailing,Framingham,MA
Publix Super Markets,76,48393.9,Food & Drug Stores,Lakeland,FL
ConocoPhillips,77,48349,Energy,Houston,TX
Liberty Mutual Insurance Group,78,48200,Financials,Boston,MA
Progressive,79,47702,Financials,Mayfield Village,OH
Nationwide,80,47376,Financials,Columbus,OH
Tyson Foods,81,47049,"Food, Beverages & Tobacco",Springdale,AR
American International Group,67,52057,Financials,New York,NY
Best Buy,68,51761,Retailing,Richfield,MN
Charter Communications,69,51682,Telecommunications,Stamford,CT
Sysco,70,51297.8,Wholesalers,Houston,TX
Merck,71,51216,Health Care,Kenilworth,NJ
New York Life Insurance,72,51198.5,Financials,New York,NY
Caterpillar,73,50971,Industrials,Deerfield,IL
Cisco Systems,74,49818,Technology,San Jose,CA
AbbVie,63,56197,Health Care,North Chicago,IL
Dow,64,54968,Chemicals,Midland,MI
Tesla,65,53823,Motor Vehicles & Parts,Austin,TX
Allstate,66,53228,Financials,Northbrook,IL
Boeing,60,62286,Aerospace & Defense,Chicago,IL
Morgan Stanley,61,61121,Financials,New York,NY
HCA Healthcare,62,58752,Health Care,Nashville,TN
HP,59,63487,Technology,Palo Alto,CA
Goldman Sachs Group,57,64989,Financials,New York,NY
Raytheon Technologies,58,64388,Aerospace & Defense,Waltham,MA
General Electric,48,74196,Industrials,Boston,MA
International Business Machines,49,72344,Technology,Armonk,NY
MetLife,50,71080,Financials,New York,NY
Prudential Financial,51,70934,Financials,Newark,NJ
Albertsons,52,69690.4,Food & Drug Stores,Boise,ID
Walt Disney,53,67418,Media,Burbank,CA
Energy Transfer,54,67417,Energy,Dallas,TX
Lockheed Martin,55,67044,Aerospace & Defense,Bethesda,MD
Freddie Mac,56,65898,Financials,McLean,VA
Pfizer,43,81288,Health Care,New York,NY
Citigroup,44,79865,Financials,New York,NY
PepsiCo,45,79474,"Food, Beverages & Tobacco",Purchase,NY
Intel,46,79024,Technology,Santa Clara,CA
Procter & Gamble,47,76118,Household Products,Cincinnati,OH
Archer Daniels Midland,38,85249,"Food, Beverages & Tobacco",Chicago,IL
FedEx,39,83959,Transportation,Memphis,TN
Humana,40,83064,Health Care,Louisville,KY
Wells Fargo,41,82407,Financials,San Francisco,CA
State Farm Insurance,42,82224.7,Financials,Bloomington,IL
Lowe's,35,96250,Retailing,Mooresville,NC
Bank of America,36,93851,Financials,Charlotte,NC
Johnson & Johnson,37,93775,Health Care,New Brunswick,NJ
United Parcel Service,34,97287,Transportation,Atlanta,GA
Comcast,28,116385,Telecommunications,Philadelphia,PA
Phillips 66,29,114852,Energy,Houston,TX
Valero Energy,30,108332,Energy,San Antonio,TX
Dell Technologies,31,106995,Technology,Round Rock,TX
Target,32,106005,Retailing,Minneapolis,MN
Fannie Mae,33,101543,Financials,Washington,DC
Marathon Petroleum,19,141032,Energy,Findlay,OH
Elevance Health,20,138639,Health Care,Indianapolis,IN
Kroger,21,137888,Food & Drug Stores,Cincinnati,OH
Ford Motor,22,136341,Motor Vehicles & Parts,Dearborn,MI
Verizon Communications,23,133613,Telecommunications,New York,NY
JPMorgan Chase,24,127202,Financials,New York,NY
General Motors,25,127004,Motor Vehicles & Parts,Detroit,MI
Centene,26,125982,Health Care,St. Louis,MO
Meta Platforms,27,117929,Technology,Menlo Park,CA
Cigna,12,174078,Health Care,Bloomfield,CT
AT&T,13,168864,Telecommunications,Dallas,TX
Microsoft,14,168088,Technology,Redmond,WA
Cardinal Health,15,162467,Health Care,Dublin,OH
Chevron,16,162465,Energy,San Ramon,CA
Home Depot,17,151157,Retailing,Atlanta,GA
Walgreens Boots Alliance,18,148579,Food & Drug Stores,Deerfield,IL
CVS Health,4,292111,Health Care,Woonsocket,RI
UnitedHealth Group,5,287597,Health Care,Minnetonka,MN
Exxon Mobil,6,285640,Energy,Irving,TX
Berkshire Hathaway,7,276094,Financials,Omaha,NE
Alphabet,8,257637,Technology,Mountain View,CA
McKesson,9,238228,Health Care,Irving,TX
AmerisourceBergen,10,213988.8,Health Care,Conshohocken,PA
Costco Wholesale,11,195929,Retailing,Issaquah,WA
Walmart,1,572754,Retailing,Bentonville,AR
Amazon,2,469822,Retailing,Seattle,WA
Apple,3,365817,Technology,Cupertino,CA
Element Solutions,941,2399.8,Chemicals,Fort Lauderdale,FL
Hilton Grand Vacations,951,2335,"Hotels, Restaurants & Leisure",Orlando,FL
Crocs,954,2313.4,Apparel,Broomfield,CO
Olympic Steel,955,2312.3,Materials,Highland Hills,OH
Signature Bank,956,2311.3,Financials,New York,NY
Saia,961,2288.7,Transportation,Johns Creek,GA
Sun Communities,964,2272.6,Financials,Southfield,MI
Century Aluminum,979,2212.5,Materials,Chicago,IL
Pure Storage,984,2180.8,Technology,Mountain View,CA
Dun & Bradstreet Holdings,987,2165.6,Business Services,Jacksonville,FL
Acushnet Holdings,990,2147.9,"Hotels, Restaurants & Leisure",Fairhaven,MA
Vizio Holding,996,2124,Industrials,Irvine,CA
Cowen,998,2112.8,Financials,New York,NY
Core & Main,606,5004,Wholesalers,St. Louis,MO
TPG,610,4976.4,Financials,Fort Worth,TX
Ares Management,627,4770.6,Financials,Los Angeles,CA
Marvell Technology,654,4462.4,Technology,Wilmington,DE
Mattress Firm Group,659,4392.9,Retailing,Houston,TX
Bright Health Group,688,4029.4,Health Care,Minneapolis,MN
eXp World Holdings,717,3771.2,Financials,Bellingham,WA
Coterra Energy,762,3449,Energy,Houston,TX
Topgolf Callaway Brands,811,3133.4,"Hotels, Restaurants & Leisure",Carlsbad,CA
Change Healthcare,815,3090.4,Health Care,Nashville,TN
Atkore,847,2928,Industrials,Harvey,IL
Alight,853,2915,Business Services,Lincolnshire,IL
Annaly Capital Management,867,2836.2,Financials,New York,NY
AppLovin,876,2793.1,Technology,Palo Alto,CA
SM Energy,905,2622.9,Energy,Denver,CO
Kaiser Aluminum,906,2622,Materials,Foothill Ranch,CA
Encore Wire,910,2592.7,Industrials,McKinney,TX
Pinterest,913,2578,Technology,San Francisco,CA
WeWork,914,2570.1,Financials,New York,NY
AMC Entertainment Holdings,920,2527.9,Media,Leawood,KS
Kontoor Brands,923,2475.9,Apparel,Greensboro,NC
Liberty Energy,924,2470.8,Energy,Denver,CO
AdaptHealth,926,2465.1,Health Care,Plymouth Meeting,PA
Jackson Financial,395,8848,Financials,Lansing,MI
GXO Logistics,430,7940,Transportation,Greenwich,CT
Victoria's Secret,480,6784.6,Retailing,Reynoldsburg,OH
Concentrix,557,5587,Technology,Fremont,CA
Vroom,805,3184.3,Retailing,New York,NY
1-800-Flowers.com,997,2122.2,Retailing,Jericho,NY
Ashland,999,2111,Chemicals,Wilmington,DE
DocuSign,1000,2107.2,Technology,San Francisco,CA
Harsco,991,2147,Business Services,Camp Hill,PA
Beazer Homes USA,992,2140.3,Engineering & Construction,Atlanta,GA
Chemed,993,2139.3,Health Care,Cincinnati,OH
