0,1,2,3,4,5,6,7,8,9,10,11,12,13
"{'key': 'rank', 'value': '996'}","{'key': 'revenues', 'value': '1826.7'}","{'key': 'revChange', 'value': '4.3'}","{'key': 'profits', 'value': '939.3'}","{'key': 'prftChange', 'value': '14'}","{'key': 'assets', 'value': '8793.4'}","{'key': 'totSHEqty', 'value': '8093.8'}","{'key': 'mktVal', 'value': '26157.6'}","{'key': 'prftPctSls', 'value': '26157.6'}","{'key': 'prftPctAsts', 'value': '10.7'}","{'key': 'prftPctSHEqty', 'value': '11.6'}","{'key': 'industry', 'value': 'zMiscellaneous'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Public Storage'}"
"{'key': 'rank', 'value': '997'}","{'key': 'revenues', 'value': '1820.7'}","{'key': 'revChange', 'value': '22.4'}","{'key': 'profits', 'value': '95.6'}","{'key': 'prftChange', 'value': '64.3'}","{'key': 'assets', 'value': '1693.1'}","{'key': 'totSHEqty', 'value': '594.5'}","{'key': 'mktVal', 'value': '1127.8'}","{'key': 'prftPctSls', 'value': '1127.8'}","{'key': 'prftPctAsts', 'value': '5.6'}","{'key': 'prftPctSHEqty', 'value': '16.1'}","{'key': 'industry', 'value': 'Construction and Farm Machinery'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Titan International, Inc.'}"
"{'key': 'rank', 'value': '998'}","{'key': 'revenues', 'value': '1816.6'}","{'key': 'revChange', 'value': '14.4'}","{'key': 'profits', 'value': '240.9'}","{'key': 'prftChange', 'value': '10.5'}","{'key': 'assets', 'value': '2750.3'}","{'key': 'totSHEqty', 'value': '2035.4'}","{'key': 'mktVal', 'value': '4488.5'}","{'key': 'prftPctSls', 'value': '4488.5'}","{'key': 'prftPctAsts', 'value': '8.8'}","{'key': 'prftPctSHEqty', 'value': '11.8'}","{'key': 'industry', 'value': 'Health Care: Pharmacy and Other Services'}","{'key': 'hqState', 'value': 'FL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'MEDNAX, Inc.'}"
"{'key': 'rank', 'value': '999'}","{'key': 'revenues', 'value': '1809.5'}","{'key': 'revChange', 'value': '5.5'}","{'key': 'profits', 'value': '63.2'}","{'key': 'prftChange', 'value': '-18.1'}","{'key': 'assets', 'value': '923.4'}","{'key': 'totSHEqty', 'value': '620.9'}","{'key': 'mktVal', 'value': '1032.4'}","{'key': 'prftPctSls', 'value': '1032.4'}","{'key': 'prftPctAsts', 'value': '6.8'}","{'key': 'prftPctSHEqty', 'value': '10.2'}","{'key': 'industry', 'value': 'Specialty Retailers: Apparel'}","{'key': 'hqState', 'value': 'NJ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': ""The Children's Place Retail Stores, Inc.""}"
"{'key': 'rank', 'value': '986'}","{'key': 'revenues', 'value': '1865.2'}","{'key': 'revChange', 'value': '37.4'}","{'key': 'profits', 'value': '178'}","{'key': 'prftChange', 'value': '4.4'}","{'key': 'assets', 'value': '7417.2'}","{'key': 'totSHEqty', 'value': '1144.1'}","{'key': 'mktVal', 'value': '2329.2'}","{'key': 'prftPctSls', 'value': '2329.2'}","{'key': 'prftPctAsts', 'value': '2.4'}","{'key': 'prftPctSHEqty', 'value': '15.6'}","{'key': 'industry', 'value': 'Insurance: Property and Casualty (Stock)'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'AmTrust Financial Services, Inc.'}"
"{'key': 'rank', 'value': '987'}","{'key': 'revenues', 'value': '1863.2'}","{'key': 'revChange', 'value': '14.8'}","{'key': 'profits', 'value': '57.6'}","{'key': 'prftChange', 'value': '59'}","{'key': 'assets', 'value': '3979.5'}","{'key': 'totSHEqty', 'value': '817.9'}","{'key': 'mktVal', 'value': '5043.9'}","{'key': 'prftPctSls', 'value': '5043.9'}","{'key': 'prftPctAsts', 'value': '1.4'}","{'key': 'prftPctSHEqty', 'value': '7'}","{'key': 'industry', 'value': 'Financial Data Services'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Vantiv, Inc.'}"
"{'key': 'rank', 'value': '988'}","{'key': 'revenues', 'value': '1861.1'}","{'key': 'revChange', 'value': '1.7'}","{'key': 'profits', 'value': '17'}","{'key': 'prftChange', 'value': ''}","{'key': 'assets', 'value': '1806.2'}","{'key': 'totSHEqty', 'value': '654.2'}","{'key': 'mktVal', 'value': '729.7'}","{'key': 'prftPctSls', 'value': '729.7'}","{'key': 'prftPctAsts', 'value': '0.9'}","{'key': 'prftPctSHEqty', 'value': '2.6'}","{'key': 'industry', 'value': 'Home Equipment, Furnishings'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Griffon Corp.'}"
"{'key': 'rank', 'value': '989'}","{'key': 'revenues', 'value': '1856.1'}","{'key': 'revChange', 'value': '5.1'}","{'key': 'profits', 'value': '30.1'}","{'key': 'prftChange', 'value': '110.6'}","{'key': 'assets', 'value': '2075.3'}","{'key': 'totSHEqty', 'value': '399.5'}","{'key': 'mktVal', 'value': ''}","{'key': 'prftPctSls', 'value': ''}","{'key': 'prftPctAsts', 'value': '1.5'}","{'key': 'prftPctSHEqty', 'value': '7.5'}","{'key': 'industry', 'value': 'Food Consumer Products'}","{'key': 'hqState', 'value': 'MN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Michael Foods Group, Inc'}"
"{'key': 'rank', 'value': '990'}","{'key': 'revenues', 'value': '1848.8'}","{'key': 'revChange', 'value': '11.5'}","{'key': 'profits', 'value': '129.7'}","{'key': 'prftChange', 'value': '43'}","{'key': 'assets', 'value': '20271.5'}","{'key': 'totSHEqty', 'value': '2905.9'}","{'key': 'mktVal', 'value': ''}","{'key': 'prftPctSls', 'value': ''}","{'key': 'prftPctAsts', 'value': '0.6'}","{'key': 'prftPctSHEqty', 'value': '4.5'}","{'key': 'industry', 'value': 'Insurance: Life, Health (stock)'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Penn Mutual Life Insurance Co.'}"
"{'key': 'rank', 'value': '991'}","{'key': 'revenues', 'value': '1843.6'}","{'key': 'revChange', 'value': '-0.4'}","{'key': 'profits', 'value': '461.4'}","{'key': 'prftChange', 'value': '6.6'}","{'key': 'assets', 'value': '3168.2'}","{'key': 'totSHEqty', 'value': '1467.4'}","{'key': 'mktVal', 'value': '8065.6'}","{'key': 'prftPctSls', 'value': '8065.6'}","{'key': 'prftPctAsts', 'value': '14.6'}","{'key': 'prftPctSHEqty', 'value': '31.4'}","{'key': 'industry', 'value': 'Scientific,Photographic and Control Equipment'}","{'key': 'hqState', 'value': 'MA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Waters Corporation'}"
