0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"{'key': 'rank', 'value': '899'}","{'key': 'revenues', 'value': '2394'}","{'key': 'revchange', 'value': '14.6'}","{'key': 'profits', 'value': '176'}","{'key': 'prftchange', 'value': '38'}","{'key': 'assets', 'value': '2168'}","{'key': 'employees', 'value': '7000'}","{'key': 'mktval', 'value': '7293'}","{'key': 'industry', 'value': 'Electronics, Electrical Equip.'}","{'key': 'hqcity', 'value': 'Atlanta'}","{'key': 'hqstate', 'value': 'GA'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Industrials'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Acuity Brands'}"
"{'key': 'rank', 'value': '898'}","{'key': 'revenues', 'value': '2394'}","{'key': 'revchange', 'value': '2.4'}","{'key': 'profits', 'value': '218'}","{'key': 'prftchange', 'value': '17.7'}","{'key': 'assets', 'value': '2862'}","{'key': 'employees', 'value': '9800'}","{'key': 'mktval', 'value': '3767'}","{'key': 'industry', 'value': 'Scientific,Photographic and Control Equipment'}","{'key': 'hqcity', 'value': 'Thousand Oaks'}","{'key': 'hqstate', 'value': 'CA'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Technology'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Teledyne Technologies'}"
"{'key': 'rank', 'value': '897'}","{'key': 'revenues', 'value': '2396'}","{'key': 'revchange', 'value': '4.7'}","{'key': 'profits', 'value': '214'}","{'key': 'prftchange', 'value': '-2.2'}","{'key': 'assets', 'value': '3874'}","{'key': 'employees', 'value': '8217'}","{'key': 'mktval', 'value': '6539'}","{'key': 'industry', 'value': 'Scientific,Photographic and Control Equipment'}","{'key': 'hqcity', 'value': 'Sunnyvale'}","{'key': 'hqstate', 'value': 'CA'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Technology'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Trimble Navigation'}"
"{'key': 'rank', 'value': '896'}","{'key': 'revenues', 'value': '2397'}","{'key': 'revchange', 'value': '11.2'}","{'key': 'profits', 'value': '444'}","{'key': 'prftchange', 'value': '-40.8'}","{'key': 'assets', 'value': '19887'}","{'key': 'employees', 'value': '750'}","{'key': 'mktval', 'value': '21520'}","{'key': 'industry', 'value': 'Real estate'}","{'key': 'hqcity', 'value': 'Boston'}","{'key': 'hqstate', 'value': 'MA'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'sector', 'value': 'Financials'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Boston Properties'}"
"{'key': 'rank', 'value': '895'}","{'key': 'revenues', 'value': '2401'}","{'key': 'revchange', 'value': '14.5'}","{'key': 'profits', 'value': '918'}","{'key': 'prftchange', 'value': '2198'}","{'key': 'assets', 'value': '4758'}","{'key': 'employees', 'value': '1590'}","{'key': 'mktval', 'value': '1436'}","{'key': 'industry', 'value': 'Homebuilders'}","{'key': 'hqcity', 'value': 'Los Angeles'}","{'key': 'hqstate', 'value': 'CA'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Engineering & Construction'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'KB Home'}"
"{'key': 'rank', 'value': '894'}","{'key': 'revenues', 'value': '2406'}","{'key': 'revchange', 'value': '21.8'}","{'key': 'profits', 'value': '33'}","{'key': 'prftchange', 'value': '-41.1'}","{'key': 'assets', 'value': '1572'}","{'key': 'employees', 'value': '3922'}","{'key': 'mktval', 'value': '2017'}","{'key': 'industry', 'value': 'Energy'}","{'key': 'hqcity', 'value': 'Overland Park'}","{'key': 'hqstate', 'value': 'KS'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Energy'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Ferrellgas Partners'}"
"{'key': 'rank', 'value': '893'}","{'key': 'revenues', 'value': '2406'}","{'key': 'revchange', 'value': '5.8'}","{'key': 'profits', 'value': '222'}","{'key': 'prftchange', 'value': '-31.4'}","{'key': 'assets', 'value': '3409'}","{'key': 'employees', 'value': '23250'}","{'key': 'mktval', 'value': '3881'}","{'key': 'industry', 'value': 'Health Care: Medical Facilities'}","{'key': 'hqcity', 'value': 'Birmingham'}","{'key': 'hqstate', 'value': 'AL'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Health Care'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'HealthSouth'}"
"{'key': 'rank', 'value': '892'}","{'key': 'revenues', 'value': '2411'}","{'key': 'revchange', 'value': '133.2'}","{'key': 'profits', 'value': '-343'}","{'key': 'prftchange', 'value': '-2357.9'}","{'key': 'assets', 'value': '7731'}","{'key': 'employees', 'value': '7950'}","{'key': 'mktval', 'value': '2452'}","{'key': 'industry', 'value': 'Food Consumer Products'}","{'key': 'hqcity', 'value': 'St. Louis'}","{'key': 'hqstate', 'value': 'MO'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'no'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Food, Beverages & Tobacco'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Post Holdings'}"
"{'key': 'rank', 'value': '891'}","{'key': 'revenues', 'value': '2418'}","{'key': 'revchange', 'value': '-5.9'}","{'key': 'profits', 'value': '95'}","{'key': 'prftchange', 'value': '-38.4'}","{'key': 'assets', 'value': '1601'}","{'key': 'employees', 'value': '13700'}","{'key': 'mktval', 'value': '1587'}","{'key': 'industry', 'value': 'Apparel'}","{'key': 'hqcity', 'value': 'Los Angeles'}","{'key': 'hqstate', 'value': 'CA'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'sector', 'value': 'Apparel'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Guess'}"
"{'key': 'rank', 'value': '890'}","{'key': 'revenues', 'value': '2420'}","{'key': 'revchange', 'value': '8.8'}","{'key': 'profits', 'value': '63'}","{'key': 'prftchange', 'value': '28.3'}","{'key': 'assets', 'value': '17798'}","{'key': 'employees', 'value': '900'}","{'key': 'mktval', 'value': ''}","{'key': 'industry', 'value': 'Insurance: Life, Health (Mutual)'}","{'key': 'hqcity', 'value': 'New York'}","{'key': 'hqstate', 'value': 'NY'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'sector', 'value': 'Financials'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Mutual of America Life Insurance'}"
