0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"{'key': 'rank', 'value': '68'}","{'key': 'f500_revenues', 'value': '47007'}","{'key': 'revchange', 'value': '5.8'}","{'key': 'f500_profits', 'value': '4767'}","{'key': 'prftchange', 'value': '21.1'}","{'key': 'assets', 'value': '64532'}","{'key': 'f500_mktval', 'value': '18261.9'}","{'key': 'rankchange1000', 'value': '1'}","{'key': 'f500_ employees', 'value': '91224'}","{'key': 'rankchange', 'value': '1'}","{'key': 'name', 'value': 'Delta Air Lines'}","{'key': 'sector', 'value': 'Transportation'}","{'key': 'f500_industry', 'value': 'Airlines'}","{'key': 'hqcity', 'value': 'Atlanta'}","{'key': 'hqstate', 'value': 'GA'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'yes'}","{'key': 'best-companies-y-n', 'value': 'yes'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Delta Air Lines'}"
"{'key': 'rank', 'value': '70'}","{'key': 'f500_revenues', 'value': '45768'}","{'key': 'revchange', 'value': '2.8'}","{'key': 'f500_profits', 'value': '1686'}","{'key': 'prftchange', 'value': '19.4'}","{'key': 'assets', 'value': '59995'}","{'key': 'f500_mktval', 'value': '5193.7'}","{'key': 'rankchange1000', 'value': '-2'}","{'key': 'f500_ employees', 'value': '133700'}","{'key': 'rankchange', 'value': '-2'}","{'key': 'name', 'value': 'American Airlines Group'}","{'key': 'sector', 'value': 'Transportation'}","{'key': 'f500_industry', 'value': 'Airlines'}","{'key': 'hqcity', 'value': 'Fort Worth'}","{'key': 'hqstate', 'value': 'TX'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'yes'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'American Airlines Group'}"
"{'key': 'rank', 'value': '111'}","{'key': 'f500_revenues', 'value': '27812'}","{'key': 'revchange', 'value': '91.6'}","{'key': 'f500_profits', 'value': '3308'}","{'key': 'prftchange', 'value': '68.8'}","{'key': 'assets', 'value': '49519'}","{'key': 'f500_mktval', 'value': '8798.2'}","{'key': 'rankchange1000', 'value': '106'}","{'key': 'f500_ employees', 'value': '26280'}","{'key': 'rankchange', 'value': '106'}","{'key': 'name', 'value': 'Paramount Global'}","{'key': 'sector', 'value': 'Media'}","{'key': 'f500_industry', 'value': 'Entertainment'}","{'key': 'hqcity', 'value': 'New York'}","{'key': 'hqstate', 'value': 'NY'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Paramount Global'}"
"{'key': 'rank', 'value': '114'}","{'key': 'f500_revenues', 'value': '26508.6'}","{'key': 'revchange', 'value': '7.2'}","{'key': 'f500_profits', 'value': '3599.2'}","{'key': 'prftchange', 'value': '-20.3'}","{'key': 'assets', 'value': '19219.6'}","{'key': 'f500_mktval', 'value': '77178.6'}","{'key': 'rankchange1000', 'value': '7'}","{'key': 'f500_ employees', 'value': '346000'}","{'key': 'rankchange', 'value': '7'}","{'key': 'name', 'value': 'Starbucks'}","{'key': 'sector', 'value': 'Hotels, Restaurants & Leisure'}","{'key': 'f500_industry', 'value': 'Food Services'}","{'key': 'hqcity', 'value': 'Seattle'}","{'key': 'hqstate', 'value': 'WA'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Starbucks'}"
"{'key': 'rank', 'value': '116'}","{'key': 'f500_revenues', 'value': '25939'}","{'key': 'revchange', 'value': '7.3'}","{'key': 'f500_profits', 'value': '385'}","{'key': 'prftchange', 'value': '-5.4'}","{'key': 'assets', 'value': '11288'}","{'key': 'f500_mktval', 'value': '3898.4'}","{'key': 'rankchange1000', 'value': '9'}","{'key': 'f500_ employees', 'value': '28000'}","{'key': 'rankchange', 'value': '9'}","{'key': 'name', 'value': 'US Foods Holding'}","{'key': 'sector', 'value': 'Wholesalers'}","{'key': 'f500_industry', 'value': 'Wholesalers: Food and Grocery'}","{'key': 'hqcity', 'value': 'Rosemont'}","{'key': 'hqstate', 'value': 'IL'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'US Foods Holding'}"
"{'key': 'rank', 'value': '117'}","{'key': 'f500_revenues', 'value': '25868'}","{'key': 'revchange', 'value': '-0.3'}","{'key': 'f500_profits', 'value': '3870'}","{'key': 'prftchange', 'value': '14.5'}","{'key': 'assets', 'value': '64549'}","{'key': 'f500_mktval', 'value': '71761.8'}","{'key': 'rankchange1000', 'value': '-1'}","{'key': 'f500_ employees', 'value': '80000'}","{'key': 'rankchange', 'value': '-1'}","{'key': 'name', 'value': 'Mondelez International'}","{'key': 'sector', 'value': 'Food, Beverages & Tobacco'}","{'key': 'f500_industry', 'value': 'Food Consumer Products'}","{'key': 'hqcity', 'value': 'Deerfield'}","{'key': 'hqstate', 'value': 'IL'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'global500-y-n', 'value': 'yes'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Mondelez International'}"
"{'key': 'rank', 'value': '121'}","{'key': 'f500_revenues', 'value': '25282.3'}","{'key': 'revchange', 'value': '14.4'}","{'key': 'f500_profits', 'value': '287.1'}","{'key': 'prftchange', 'value': '232.6'}","{'key': 'assets', 'value': '12970.5'}","{'key': 'f500_mktval', 'value': '3738.4'}","{'key': 'rankchange1000', 'value': '19'}","{'key': 'f500_ employees', 'value': '200000'}","{'key': 'rankchange', 'value': '19'}","{'key': 'name', 'value': 'Jabil'}","{'key': 'sector', 'value': 'Technology'}","{'key': 'f500_industry', 'value': 'Semiconductors and Other Electronic Components'}","{'key': 'hqcity', 'value': 'St. Petersburg'}","{'key': 'hqstate', 'value': 'FL'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Jabil'}"
"{'key': 'rank', 'value': '161'}","{'key': 'f500_revenues', 'value': '20521.2'}","{'key': 'revchange', 'value': '3.2'}","{'key': 'f500_profits', 'value': '3008.2'}","{'key': 'prftchange', 'value': '13.5'}","{'key': 'assets', 'value': '62081.6'}","{'key': 'f500_mktval', 'value': '96457.3'}","{'key': 'rankchange1000', 'value': '-1'}","{'key': 'f500_ employees', 'value': '60000'}","{'key': 'rankchange', 'value': '-1'}","{'key': 'name', 'value': 'Danaher'}","{'key': 'sector', 'value': 'Health Care'}","{'key': 'f500_industry', 'value': 'Medical Products and Equipment'}","{'key': 'hqcity', 'value': 'Washington'}","{'key': 'hqstate', 'value': 'DC'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Danaher'}"
"{'key': 'rank', 'value': '164'}","{'key': 'f500_revenues', 'value': '20156.4'}","{'key': 'revchange', 'value': '27.6'}","{'key': 'f500_profits', 'value': '1866.9'}","{'key': 'prftchange', 'value': '54.1'}","{'key': 'assets', 'value': '33975.7'}","{'key': 'f500_mktval', 'value': '164771.9'}","{'key': 'rankchange1000', 'value': '33'}","{'key': 'f500_ employees', 'value': '8600'}","{'key': 'rankchange', 'value': '33'}","{'key': 'name', 'value': 'Netflix'}","{'key': 'sector', 'value': 'Media'}","{'key': 'f500_industry', 'value': 'Entertainment'}","{'key': 'hqcity', 'value': 'Los Gatos'}","{'key': 'hqstate', 'value': 'CA'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'yes'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Netflix'}"
"{'key': 'rank', 'value': '91'}","{'key': 'f500_revenues', 'value': '36819'}","{'key': 'revchange', 'value': '-7.4'}","{'key': 'f500_profits', 'value': '178.9'}","{'key': 'prftchange', 'value': '40.1'}","{'key': 'assets', 'value': '5992.4'}","{'key': 'f500_mktval', 'value': '1646.9'}","{'key': 'rankchange1000', 'value': '-8'}","{'key': 'f500_ employees', 'value': '5500'}","{'key': 'rankchange', 'value': '-8'}","{'key': 'name', 'value': 'World Fuel Services'}","{'key': 'sector', 'value': 'Energy'}","{'key': 'f500_industry', 'value': 'Energy'}","{'key': 'hqcity', 'value': 'Miami'}","{'key': 'hqstate', 'value': 'FL'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'yes'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'World Fuel Services'}"
