company,rank,revenue,state
"Lincoln Electric Holdings, Inc.",754,2694.6,OH
"Thor Industries, Inc.",743,2755.5,OH
PolyOne Corporation,717,2863.5,OH
"Diebold, Incorporated",721,2835.8,OH
The Scotts Miracle-Gro Company,704,2924.4,OH
Fifth Third Bancorp,372,6673.0,OH
AK Steel Holding Corporation,381,6468.0,OH
Cliffs Natural Resources Inc.,366,6794.3,OH
"Owens-Illinois, Inc.",345,7358.0,OH
TravelCenters of America LLC,329,7888.9,OH
Dana Holding Corporation,336,7592.0,OH
Invacare Corporation,983,1801.1,OH
"Express, Inc.",903,2073.4,OH
DSW Inc.,915,2024.3,OH
Cintas Corporation,585,3810.4,OH
Cincinnati Financial Corporation,587,3802.7,OH
Abercrombie & Fitch Co.,561,4158.1,OH
Cooper Tire & Rubber Company,575,3927.2,OH
Greif,550,4248.0,OH
"The Andersons, Inc.",517,4576.3,OH
"American Financial Group, Inc.",505,4750.0,OH
"American Electric Power Company, Inc.",176,15116.0,OH
FirstEnergy Corp.,160,16258.0,OH
Eaton Corporation,163,16049.0,OH
The Progressive Corporation,169,15508.1,OH
The Goodyear Tire & Rubber Company,126,22767.0,OH
"Macy's, Inc.",110,26405.0,OH
"A. Schulman, Inc.",871,2193.0,OH
Ferro Corporation,879,2155.8,OH
"Applied Industrial Technologies, Inc.",863,2212.8,OH
Convergys Corporation,851,2262.0,OH
Mettler-Toledo International Inc.,838,2309.3,OH
Teradata Corporation,821,2362.0,OH
"Worthington Industries, Inc.",802,2442.6,OH
Medical Mutual of Ohio,813,2400.6,OH
The Wendy's Company,694,2977.8,OH
Huntington Bancshares Incorporated,700,2950.8,OH
"Chiquita Brands International, Inc.",673,3139.3,OH
RPM International Inc.,637,3381.8,OH
"NACCO Industries, Inc.",643,3331.2,OH
Aleris Corporation,494,4826.4,OH
The J.M. Smucker Company,495,4825.7,OH
KeyCorp,499,4780.0,OH
Western & Southern Mutual Holding Company,482,4986.4,OH
"Big Lots, Inc.",467,5202.3,OH
The Timken Company,470,5170.2,OH
Momentive Specialty Chemicals Inc.,452,5352.0,OH
Owens Corning,454,5335.0,OH
The Sherwin-Williams Company,293,8765.7,OH
"Limited Brands, Inc.",256,10364.0,OH
Parker-Hannifin Corporation,216,12345.9,OH
Nationwide Mutual Insurance Co.,100,30697.8,OH
The Procter & Gamble Company,27,82559.0,OH
Marathon Petroleum Corporation,31,73645.0,OH
"Cardinal Health, Inc.",21,102644.2,OH
The Kroger Company,23,90374.0,OH
