,0
0,203134.857093357
1,166604.44700576662
2,214568.22519106825
3,182574.60690971086
4,296219.4848483991
5,156977.53576032337
6,289599.1316999394
7,211407.2718226138
8,162558.87841139006
9,119907.948214552
10,131872.3239162339
11,337843.54835326836
12,127088.48063806191
13,231572.987874548
14,148341.76910453255
15,130665.14921166397
16,145066.38609331555
17,117583.2329630899
18,155610.42131274982
19,135997.16473816094
20,326043.5122195183
21,124576.9098795105
22,256164.40054230572
23,144893.98331203184
24,135968.15283143116
25,271443.88890307234
26,131685.34765603617
27,307134.00041799335
28,183838.6625144095
29,68057.90995511704
30,92531.9526347616
31,133423.1182253171
32,194464.80606909812
33,171496.743141738
34,274297.70061756007
35,304644.8068181239
36,156071.43845286817
37,158645.0026779173
38,131841.98964862223
39,83186.37262610343
40,157400.34425861717
41,154075.18839705395
42,135424.07118762756
43,129053.40229386225
44,133830.65486213888
45,290865.07786396553
46,262598.3653323103
47,253545.3809557057
48,117434.263473623
49,129626.41349306848
50,170526.7157321963
51,125271.12432586355
52,123546.50884473557
53,306665.6134793996
54,139039.91682825383
55,165333.2427911296
56,195465.2238161051
57,195733.0561881177
58,423189.23999117495
59,120924.11538802805
60,162876.76025976677
61,102614.66895383481
62,206012.92807778082
63,157688.23347466256
64,233612.78191921551
65,302057.28842645866
66,247606.20360822076
67,213863.91916913586
68,86627.88246756236
69,205731.48892015047
70,249795.00824485542
71,124444.41991868996
72,189396.91369100605
73,140982.45053749482
74,119982.05173616477
75,95109.91557410713
76,112240.58858829761
77,122824.14420785755
78,132918.31564531935
79,116222.00410929743
80,194724.35727092417
81,186439.3708920516
82,258174.62025818037
83,130043.57957798496
84,175880.03979908425
85,257589.7174467662
86,176886.65097686782
87,160773.0896777345
88,102632.53380749856
89,117181.47700850361
90,98147.25669565272
91,138817.82640454455
92,123855.4442742854
93,188735.9312348
94,206599.83518567242
95,175294.41906274357
96,221559.99627035807
97,124477.35949824778
98,95982.37362163138
99,123932.36277246791
100,210124.34317725405
101,178886.38522046804
102,120658.33115459677
103,217186.57097088138
104,161842.56684135698
105,251748.66580680522
106,103155.23138463938
107,105139.59007185977
108,123704.35703849456
109,197182.21147635835
110,145733.77559032335
111,172761.72984351093
112,316282.54348498955
113,208699.50560727756
114,198226.70638871528
115,174584.57290756746
116,136494.11088929154
117,148533.22187588087
118,303053.40425519535
119,167710.27051827437
120,148536.92973147082
121,98100.84487243996
122,136685.17028398096
123,169541.3731627134
124,185754.76667931542
125,97724.3374624701
126,138128.34175661913
127,101427.40094111509
128,144049.29157618637
129,142746.2871803044
130,209665.96488218475
131,219495.13785748344
132,145053.90804016133
133,209195.45700699757
134,184263.2419404408
135,183875.32550574077
136,145590.68837002106
137,243179.27915696992
138,254605.98341312216
139,203793.17293114171
140,111828.50933047733
141,260622.40579812072
142,140040.38722721572
143,212146.16039324933
144,164012.18925651355
145,148634.846917388
146,106266.933270052
147,217980.78100107773
148,136632.5358962612
149,106595.06260625612
150,133543.38879518094
151,327872.90604658617
152,192163.9924219545
153,174735.5571428713
154,120585.76977004866
155,90081.22932030224
156,106176.6351405331
157,269031.46317875036
