,0
0,125856.5575
1,151943.335
2,182550.9975
3,184554.2975
4,192816.9925
5,185526.7425
6,177600.815
7,175902.3
8,178982.62
9,123154.55
10,198214.0075
11,96200.215
12,98593.3875
13,148785.5
14,122771.1925
15,374731.305
16,263981.7125
17,292586.475
18,252093.6875
19,477835.47
20,315341.71
21,207607.2275
22,180344.355
23,169432.405
24,176264.515
25,203897.0675
26,327051.9625
27,239351.4275
28,209680.7275
29,212142.345
30,189618.96
31,102667.7425
32,186243.635
33,302127.7125
34,294221.735
35,227891.3175
36,178917.8425
37,150618.6875
38,150935.2925
39,160975.075
40,173791.495
41,150291.9525
42,284437.235
43,231613.1475
44,219425.865
45,184160.7325
46,257625.915
47,193207.7025
48,160246.77
49,151412.915
50,147474.3425
51,168315.71
52,147087.295
53,168049.1625
54,205321.3925
55,160214.115
56,151981.005
57,132196.3575
58,229688.8475
59,135870.75
60,142264.25
61,167481.955
62,113761.1475
63,122050.8825
64,125175.385
65,131615.5225
66,108789.1775
67,129564.895
68,141983.575
69,167565.38
70,134278.4975
71,107136.2
72,153644.3375
73,121523.14
74,156749.4525
75,120496.1175
76,99097.245
77,165803.11
78,209204.85
79,124353.2025
80,147946.9
81,142329.425
82,207970.4025
83,87005.22
84,102773.355
85,126690.125
86,140131.38
87,129423.97
88,120234.21
89,144288.115
90,121306.06
91,155240.32
92,150999.585
93,108057.6425
94,169039.31
95,100491.715
96,116966.345
97,94147.6825
98,122287.115
99,146852.895
100,154170.935
101,125222.4125
102,123878.165
103,163406.57
104,159358.3875
105,219929.125
106,85857.895
107,216485.8325
108,144056.5875
109,137015.57
110,133058.6875
111,144723.4375
112,252202.905
113,127913.12
114,211931.2375
115,242736.5525
116,205719.17
117,143465.415
118,145706.415
119,190711.1025
120,139426.9975
121,127905.25
122,346848.24
123,239326.4625
124,139349.0
125,82534.9675
126,105268.3175
127,146216.1825
128,104088.765
129,134591.1375
130,102048.04
131,130465.7625
132,117215.14
133,135633.38
134,127566.3125
135,214285.42
136,173234.895
137,186976.8625
138,179792.35
139,185421.52
140,71752.225
141,110201.9
142,94965.1275
143,271350.5425
144,258532.5125
145,171769.34
146,171635.69
147,216514.0725
148,199250.0475
149,168650.3875
150,148894.2525
151,178237.025
152,183178.2575
153,128140.7525
154,86369.625
155,79519.6525
156,88891.8325
157,127985.8275
158,133489.875
159,194518.78
160,147219.0775
161,138213.125
162,303164.89
163,216383.3425
164,125024.9975
165,177297.08
166,188971.51
167,271809.5625
168,178541.92
169,342295.8925
170,226273.675
171,248365.26
172,172395.205
173,185664.695
174,182535.465
175,168669.395
176,189967.3475
177,202572.65
178,186234.105
179,253476.8075
180,178493.3625
181,217965.48
182,223569.045
183,224167.3875
184,190599.46
185,157330.8425
186,156286.8
187,134751.4275
188,138220.9825
189,123997.285
190,123854.3225
191,91858.0
192,97764.125
193,154957.76
194,146759.7775
195,147716.46
196,155110.3225
197,147633.46
198,130244.205
199,149684.11
200,463617.3
201,367567.62
202,383025.7625
203,437891.125
204,305551.28
205,335854.1125
206,355485.12
207,323445.2775
208,289518.8425
209,342003.9075
210,272003.1475
211,463260.98
212,308998.4575
213,250869.4725
214,195097.8275
215,194147.6
216,216660.8625
217,459521.015
218,389482.9725
219,319508.1875
220,248167.4525
221,306044.5375
222,182756.2725
223,168727.2675
224,172701.94
225,168825.07
226,168649.075
227,189311.1675
228,189186.9975
229,185213.2675
230,175411.66
231,251748.68
232,169192.0825
233,186026.825
234,171255.5475
235,279385.35
236,171920.87
237,356314.625
238,343030.7475
239,245270.33
240,255693.8025
241,263033.63
242,272766.8325
243,308120.98
244,236619.5925
245,449201.5675
246,218200.76
247,223934.54
248,283158.7775
249,230334.35
250,264227.6925
251,264531.22
252,270858.275
253,217663.6625
254,202756.465
255,188083.55
256,161231.1625
257,125133.8825
258,203678.46
259,254068.405
260,164204.485
261,118320.95
262,162855.845
263,219255.6125
264,228412.3325
265,192904.12
266,175521.98
267,186546.29
268,164032.1075
269,163181.225
270,126432.58
271,134411.29
272,118865.0775
273,132381.575
274,131390.4575
275,118427.495
276,337225.1925
277,211499.955
278,293581.8875
279,220783.63
280,180643.54
281,171879.4475
282,178364.6825
283,296687.575
284,202801.7825
285,225127.915
286,204834.3225
287,223821.215
288,163922.75
289,146841.585
290,222723.0675
291,122645.665
292,155426.575
293,199323.2925
294,166781.7
295,128487.685
296,118095.5525
297,152206.2675
298,172182.6775
299,163848.5825
300,159662.675
301,178291.68
302,165150.7675
303,119423.4275
304,174044.1625
305,176009.5
306,219167.895
307,140665.3125
308,163596.4475
309,143746.1875
310,137555.4625
311,139569.5225
312,142316.385
313,143338.6625
314,133019.1075
315,116049.2
316,113997.9575
317,128213.875
318,119940.9825
319,176370.21
320,129343.13
321,99597.9975
322,135321.8275
323,98909.075
324,116507.0525
325,161707.3075
326,167352.455
327,64543.205
328,106314.8175
329,88298.19
330,185521.93
331,154388.81
332,142760.045
333,142384.2075
334,141023.1875
335,126755.3875
336,127047.26
337,122879.6125
338,112484.8975
339,127516.48
340,128013.515
341,150323.32
342,152811.11
343,140810.0675
344,134874.2325
345,116024.3725
346,143904.2025
347,127402.425
348,125860.06
349,152779.8225
350,111184.435
351,112682.625
352,122875.0475
353,93520.0975
354,66635.8575
355,98586.9725
356,124328.8425
357,141291.9175
358,114982.0875
359,71282.125
360,115019.135
361,157638.8475
362,67106.62
363,138168.2175
364,142911.565
365,99644.0375
366,108329.8475
367,136885.9025
368,117636.58
369,145326.9975
370,164009.5375
371,122908.5825
372,145798.5675
373,124709.885
374,153988.5875
375,132121.585
376,97885.23
377,132229.295
378,89897.9475
379,177822.6875
380,143995.1
381,98183.335
382,145140.53
383,136326.8125
384,150476.435
385,154098.25
386,165024.7425
387,63269.8825
388,118422.355
389,125611.425
390,160525.69
391,130704.1475
392,133408.3375
393,163711.5825
394,149431.1525
395,217794.5825
396,181060.635
397,144785.8425
398,120041.7875
399,154404.58
400,120507.5875
401,302290.915
402,294355.1875
403,294355.1875
404,320201.2025
405,330751.195
406,251292.25
407,309563.705
408,204103.7025
409,249556.0575
410,244791.3875
411,168491.865
412,220162.8675
413,136863.635
414,206942.3925
415,202986.03
416,211909.8225
417,213893.8425
418,132112.975
419,136710.57
420,250941.485
421,253010.8875
422,198333.355
423,215494.6575
424,262573.56
425,293743.17
426,203160.9875
427,296488.7475
428,164433.8475
429,133975.3175
430,143845.505
431,111972.8725
432,130489.375
433,131112.255
434,151995.83
435,129223.79
436,129236.8325
437,116043.0375
438,133026.06
439,129670.375
440,166789.2825
441,134737.7475
442,201685.9
443,133571.155
444,179582.4975
445,153108.355
446,204133.5625
447,121611.1075
448,133149.35
449,124096.535
450,200602.69
451,266746.16
452,161834.7925
453,82480.07
454,320987.745
455,80990.8675
456,253563.9375
457,134856.6375
458,161803.8675
459,187203.4825
460,424190.445
461,314580.225
462,201234.005
463,221631.5675
464,221320.43
465,382899.145
466,137614.2725
467,157351.76
468,126422.09
469,136506.5875
470,148061.275
471,147536.3975
472,172491.9975
473,181536.1175
474,177923.0425
475,192054.6625
476,184485.505
477,175352.325
478,253872.7625
479,191540.4075
480,177706.0575
481,190014.5125
482,191995.19
483,310607.7275
484,350343.145
485,162951.3975
486,306091.2175
487,168988.78
488,235491.9325
489,172770.235
490,248801.56
491,208687.1775
492,164151.4825
493,197622.645
494,135204.395
495,270482.785
496,172323.55
497,320638.185
498,144385.24
499,115339.8275
500,120080.585
501,93615.125
502,103657.0
503,115186.98
504,145555.8225
505,146559.7675
506,292206.3725
507,411157.16
508,379601.555
509,436188.7725
510,423202.7375
511,351558.62
512,259693.0375
513,312207.425
514,430569.5325
515,281520.0925
516,384960.615
517,370600.87
518,315876.43
519,197715.1375
520,329085.4275
521,232015.75
522,217535.0275
523,169262.6825
524,216138.055
525,218596.2425
526,177449.08
527,179833.3125
528,188265.8875
529,219636.1875
530,233163.5575
531,214858.7475
532,172288.4
533,243824.795
534,185869.205
535,255938.0125
536,303115.1525
537,357670.495
538,248880.58
539,295795.535
540,264418.43
541,240103.425
542,263013.295
543,278226.835
544,235503.56
545,226182.1325
546,255636.315
547,206302.5175
548,197030.4925
549,190394.3025
550,128438.5025
551,174287.0
552,181944.365
553,190273.855
554,196452.0875
555,201139.035
556,200374.5775
557,125001.27
558,132556.05
559,124243.6175
560,113794.52
561,177229.6475
562,152955.8075
563,248814.7775
564,340855.2525
565,177464.43
566,153349.64
567,150927.2725
568,175480.0825
569,269234.95
570,221160.545
571,249634.5825
572,264885.925
573,165126.0325
574,213343.1475
575,180917.385
576,185000.9825
577,271884.28
578,203341.265
579,322099.79
580,265208.9925
581,200178.4675
582,166503.3825
583,175737.3025
584,219156.0975
585,137830.0175
586,151490.3175
587,135309.64
588,138532.75
589,176131.74
590,106133.15
591,133885.9825
592,144764.35
593,83312.13
594,155457.17
595,140062.78
596,125188.75
597,222454.8275
598,135742.1475
599,162394.055
600,176911.1
601,134576.25
602,112134.59
603,142330.8875
604,123958.3125
605,176260.97
606,140131.36
607,148878.88
608,89592.1
609,110172.7875
610,99172.0525
611,142303.615
612,139873.68
613,176352.9275
614,146791.0625
615,121784.9625
616,149280.0
617,130529.5925
618,132352.5525
619,116678.2425
620,121191.79
621,138340.0425
622,142599.6
623,111165.7825
624,131338.1025
625,139472.8125
626,124470.805
627,113890.0625
628,85612.6025
629,135864.675
630,124941.425
631,134820.4175
632,147119.3025
633,117819.965
634,150185.7225
635,91125.0375
636,95317.34
637,146915.395
638,62343.2525
639,114873.92
640,138814.34
641,138941.3925
642,106356.25
643,134097.8725
644,128960.3925
645,85120.3125
646,237508.7925
647,124636.475
648,121582.4875
649,129848.0325
650,151868.6325
651,139403.5725
652,120265.1825
653,112326.135
654,150599.5
655,115664.885
656,148611.4875
657,123556.8525
658,105446.3525
659,109891.0175
660,90879.905
661,98934.06
662,96762.5
663,175789.965
664,136735.5125
665,150194.685
666,159212.515
667,132848.6425
668,96352.765
669,151998.7075
670,164237.43
671,119963.6825
672,117946.5775
673,123560.38
674,108905.27
675,93459.315
676,122512.875
677,140936.3875
678,152841.0925
679,137252.625
680,141010.495
681,134310.5875
682,141777.96
683,126922.4
684,135331.75
685,157320.79
686,165809.69
687,127953.505
688,133778.03
689,214566.085
690,111876.42
691,174021.425
692,163372.725
693,113722.3725
694,133012.9575
695,255934.5025
696,232777.06
697,232536.6975
698,200562.0725
699,169720.9475
700,259402.8725
701,451690.3225
702,351908.0025
703,259865.425
704,176903.4725
705,144979.375
706,207154.0025
707,206183.5125
708,193537.965
709,219321.555
710,150090.78
711,144362.64
712,167410.795
713,230477.32
714,306980.1575
715,324657.78
716,254995.0825
717,217174.795
718,144577.625
719,249154.4975
720,193508.745
721,231575.46
722,198365.6575
723,141646.4375
724,138713.265
725,146788.8625
726,148202.95
727,152996.825
728,225420.92
729,84763.0625
730,87486.3125
731,102620.25
732,98547.875
733,104018.0925
734,112843.9375
735,112179.3625
736,112614.2075
737,152490.9375
738,171389.2675
739,128000.1025
740,129788.3525
741,175617.8325
742,158994.435
743,167155.3425
744,108601.0275
745,135462.71
746,197130.6575
747,227056.475
748,201545.4725
749,123858.6175
750,115038.45
751,113751.93
752,103949.2425
753,144626.195
754,101193.3325
755,150521.695
756,88243.2325
757,93620.885
758,85649.9275
759,74672.735
760,319765.25
761,248665.99
762,287871.92
763,231434.3475
764,140823.5475
765,220480.22
766,204592.88
767,273713.875
768,233172.2375
769,167290.135
770,217172.3775
771,192389.36
772,176603.6175
773,248002.1875
774,218048.24
775,276985.5325
776,370697.705
777,209322.045
778,120868.6875
779,164003.0525
780,151096.9625
781,138678.4725
782,128073.58
783,100119.795
784,97724.8175
785,140652.385
786,105728.525
787,123781.875
788,128303.605
789,134679.875
790,128570.82
791,183590.625
792,163869.8725
793,179022.4825
794,195003.055
795,181635.5275
796,214595.7525
797,171649.9625
798,180855.17
799,159126.9825
800,179755.6125
801,195594.105
802,334558.375
803,422881.6625
804,172454.115
805,262184.875
806,349165.7875
807,362466.425
808,163350.1325
809,178300.2425
810,228672.36
811,198050.1275
812,167091.1425
813,175789.095
814,169320.9175
815,170777.825
816,185242.4775
817,156338.2825
818,123486.325
819,121377.7025
820,182937.2375
821,182768.8575
822,95613.8125
823,110249.3425
824,143591.4975
825,129914.825
826,331422.935
827,266248.2125
828,401505.3725
829,413755.4225
830,316371.51
831,420064.655
832,440031.4775
833,390051.985
834,436498.29
835,275805.4925
836,298700.3975
837,303845.72
838,410914.755
839,319475.8525
840,267121.5925
841,243481.285
842,243348.345
843,245085.1075
844,185568.86
845,185403.005
846,193749.5475
847,215916.015
848,271291.9725
849,213785.7275
850,196797.43
851,179647.6575
852,175654.0425
853,176713.57
854,171923.235
855,203974.87
856,184909.9725
857,175357.5525
858,174891.0275
859,183844.725
860,246841.7075
861,167302.1075
862,175879.8775
863,171718.0575
864,216757.3975
865,168960.62
866,211449.475
867,217738.5825
868,183061.625
869,179495.0825
870,358784.2175
871,369169.76
872,309687.195
873,265292.1625
874,255115.3825
875,322750.15
876,212417.0525
877,290557.8125
878,238769.18
879,383430.505
880,229784.955
881,246352.165
882,218870.4575
883,237817.56
884,241155.21
885,213912.6875
886,199208.8
887,223770.745
888,177315.0825
889,275904.2575
890,243597.9825
891,251625.1725
892,279004.8525
893,125464.79
894,131115.3025
895,150223.8425
896,206534.955
897,203160.23
898,122270.2725
899,122843.225
900,141825.125
901,266435.3425
902,141063.3975
903,157508.71
904,216410.715
905,184930.67
906,226209.9775
907,203565.115
908,222192.1175
909,173972.41
910,174977.78
911,191643.8
912,251185.11
913,283656.2375
914,264014.5275
915,254220.795
916,314070.8775
917,144954.52
918,194958.215
919,143855.67
920,159390.7725
921,190298.9525
922,215336.5225
923,244713.675
924,155763.2125
925,140527.1875
926,135930.95
927,108469.8275
928,129893.62
929,144366.405
930,134134.8
931,113893.9325
932,157826.205
933,143391.2325
934,202684.3925
935,149230.5625
936,200977.535
937,129743.1275
938,66925.97
939,61732.59
940,119540.575
941,133995.2625
942,129222.865
943,155062.4225
944,160068.7175
945,133757.3125
946,128458.03
947,137645.315
948,135233.4825
949,166787.765
950,123317.2375
951,152077.7175
952,132072.6025
953,142278.69
954,132897.15
955,122571.0975
956,126184.7625
957,126573.9575
958,128442.31
959,125285.8825
960,149607.9375
961,119182.9325
962,124164.4625
963,158682.155
964,256595.16
965,135994.6525
966,137139.435
967,173162.325
968,115345.5475
969,131224.6025
970,125443.5025
971,133103.6475
972,144831.2375
973,144931.0625
974,155128.0
975,108274.97
976,109331.0975
977,123823.665
978,113914.24
979,122232.045
980,112182.3375
981,108476.75
982,118591.195
983,130315.565
984,99572.9125
985,138073.8675
986,194404.3975
987,160752.925
988,110531.2725
989,155195.4425
990,132313.2725
991,222829.2375
992,99489.15
993,127490.9075
994,120869.4325
995,130322.96
996,119533.2425
997,116721.445
998,108398.345
999,137964.5
1000,116191.655
1001,132797.3575
1002,113025.0225
1003,181222.99
1004,128284.57
1005,115581.475
1006,151236.885
1007,93965.385
1008,87178.8
1009,194863.9475
1010,202540.7275
1011,181912.935
1012,125550.8275
1013,106526.69
1014,223537.7725
1015,114695.6675
1016,132466.7725
1017,165219.6
1018,123503.795
1019,149954.9575
1020,123381.15
1021,133566.355
1022,119503.4175
1023,126963.57
1024,125494.5075
1025,155632.99
1026,207858.435
1027,144930.64
1028,155544.425
1029,151528.2475
1030,103673.075
1031,186122.9725
1032,150312.18
1033,168179.025
1034,110365.1175
1035,236828.3275
1036,145528.25
1037,114676.2875
1038,100178.61
1039,130071.86
1040,134835.24
1041,146480.635
1042,107919.345
1043,195315.74
1044,218023.355
1045,257078.47
1046,327163.2875
1047,257135.99
1048,224428.8425
1049,232119.125
1050,186818.675
1051,216124.88
1052,219865.22
1053,232080.295
1054,154765.15
1055,169729.2075
1056,133940.3025
1057,140907.8325
1058,223489.3225
1059,212468.165
1060,192987.1475
1061,220388.9825
1062,129435.5
1063,142691.1125
1064,149874.855
1065,141507.2975
1066,114104.59
1067,129175.02
1068,131866.235
1069,126013.225
1070,252445.425
1071,230900.395
1072,198617.0375
1073,245654.7975
1074,295097.16
1075,227942.855
1076,219265.37
1077,180048.5875
1078,185929.7975
1079,181422.5175
1080,177563.31
1081,171184.6
1082,130779.8925
1083,127854.2775
1084,139340.5575
1085,136594.2925
1086,139895.3475
1087,151228.7375
1088,169904.2425
1089,369779.675
1090,144490.64
1091,124533.46
1092,86296.6475
1093,120965.815
1094,108456.1825
1095,105895.2475
1096,121726.3225
1097,169463.9775
1098,131499.81
1099,132193.275
1100,121467.28
1101,132882.1125
1102,143354.9425
1103,174780.235
1104,135263.71
1105,141725.7225
1106,125871.3
1107,186278.3375
1108,181479.58
1109,122329.4675
1110,193383.315
1111,167321.3975
1112,218425.89
1113,266629.6475
1114,126679.115
1115,127290.005
1116,154214.6675
1117,97873.14
1118,74335.925
1119,141254.1775
1120,138669.285
1121,117583.67
1122,256939.26
1123,162518.29
1124,197580.53
1125,208789.34
1126,206589.965
1127,137721.0325
1128,144943.0725
1129,222214.045
1130,224342.465
1131,227355.5
1132,257985.3025
1133,173512.7175
1134,202090.7975
1135,352058.4125
1136,197494.15
1137,270930.9575
1138,299888.925
1139,186106.05
1140,141961.32
1141,86318.125
1142,90058.7325
1143,85750.375
1144,83229.205
1145,148531.195
1146,180620.185
1147,203427.1725
1148,162979.9275
1149,110851.7725
1150,153046.035
1151,151082.035
1152,128761.975
1153,124821.275
1154,145725.585
1155,138242.375
1156,190107.745
1157,183601.25
1158,215380.3875
1159,187565.3675
1160,189208.2775
1161,196063.3825
1162,247101.1275
1163,297280.38
1164,300362.19
1165,171867.2275
1166,177981.17
1167,394880.575
1168,476821.13
1169,324447.1225
1170,455323.15
1171,390837.4225
1172,297273.745
1173,381316.36
1174,151017.385
1175,189714.9675
1176,163531.98
1177,246579.475
1178,176630.735
1179,155858.125
1180,111387.63
1181,202815.245
1182,110407.68
1183,134552.7675
1184,97569.4375
1185,88299.25
1186,96906.25
1187,140926.6425
1188,140301.9525
1189,141581.23
1190,147695.1625
1191,432331.575
1192,248760.195
1193,259227.315
1194,369857.3825
1195,314177.7475
1196,301905.3925
1197,262658.52
1198,293345.53
1199,315277.7225
1200,335921.1625
1201,344338.3925
1202,287409.155
1203,268533.345
1204,304084.705
1205,274233.17
1206,166561.415
1207,175570.05
1208,177724.2525
1209,283018.185
1210,178007.405
1211,187530.07
1212,212729.7525
1213,218219.2325
1214,164219.2625
1215,185398.56
1216,208344.26
1217,259710.835
1218,283944.65
1219,276104.7975
1220,382152.255
1221,330858.055
1222,516338.8525
1223,300152.2375
1224,337556.9925
1225,257657.0725
1226,314684.42
1227,224758.0625
1228,204135.7425
1229,472857.2425
1230,193343.9825
1231,115856.69
1232,193556.8375
1233,111837.705
1234,191826.165
1235,185354.705
1236,204731.83
1237,202033.3
1238,180026.51
1239,167057.0925
1240,162376.3675
1241,120480.39
1242,130265.125
1243,145536.815
1244,125810.6
1245,120100.115
1246,127739.015
1247,134624.1475
1248,109529.3
1249,126627.125
1250,253388.46
1251,359685.7
1252,164921.085
1253,147361.94
1254,172776.43
1255,149703.4575
1256,182330.8775
1257,234042.11
1258,157263.29
1259,164514.2875
1260,142812.65
1261,157790.465
1262,148902.0425
1263,128817.0625
1264,135376.8125
1265,145230.095
1266,167278.395
1267,166965.3375
1268,155413.0225
1269,145960.46
1270,118043.8575
1271,118757.5425
1272,164894.385
1273,150993.765
1274,128955.7175
1275,150635.2125
1276,122644.2875
1277,134239.65
1278,161576.865
1279,131140.1175
1280,148073.5625
1281,152101.5
1282,152288.5625
1283,146433.3125
1284,138151.9375
1285,132889.1425
1286,153050.4275
1287,129420.55
1288,132615.48
1289,135305.9525
1290,131701.4375
1291,217158.5375
1292,156829.7125
1293,238995.875
1294,127006.625
1295,94230.95
1296,85949.785
1297,81339.6775
1298,159697.9425
1299,148045.835
1300,150042.3125
1301,147131.9375
1302,198356.1175
1303,163710.425
1304,267493.2575
1305,136223.315
1306,94851.505
1307,129198.73
1308,129942.965
1309,147487.3575
1310,121303.7425
1311,116472.0625
1312,156528.375
1313,139693.77
1314,138611.2575
1315,141082.9025
1316,147928.74
1317,114109.8975
1318,134005.86
1319,112863.1875
1320,103556.7975
1321,95807.2625
1322,101990.5375
1323,129558.7625
1324,144594.91
1325,65434.4875
1326,118984.53
1327,82203.875
1328,193574.2575
1329,96625.945
1330,119999.545
1331,80514.78
1332,173110.825
1333,104298.5675
1334,118247.7875
1335,103392.08
1336,200938.465
1337,117162.8225
1338,126448.0075
1339,78631.25
1340,111297.4325
1341,131962.4125
1342,164630.7125
1343,145054.85
1344,110414.6825
1345,87554.655
1346,149935.9175
1347,152889.25
1348,128667.335
1349,137391.8125
1350,172186.73
1351,145845.7475
1352,154214.2775
1353,155054.985
1354,115050.195
1355,244404.5475
1356,142453.9425
1357,130584.7175
1358,156243.035
1359,143011.605
1360,119204.6375
1361,197979.9875
1362,295302.6425
1363,182411.4475
1364,159788.93
1365,131828.7075
1366,141439.5925
1367,238327.14
1368,199788.245
1369,231643.6775
1370,190188.02
1371,244769.4525
1372,276066.345
1373,213713.135
1374,220353.975
1375,200333.675
1376,159031.3275
1377,143822.2625
1378,182422.1275
1379,197865.62
1380,201011.46
1381,219947.13
1382,146617.7025
1383,160344.7775
1384,126232.8125
1385,209430.7125
1386,202615.6225
1387,210673.9975
1388,209987.92
1389,283938.8225
1390,233922.625
1391,241069.7725
1392,231776.23
1393,138050.375
1394,202753.01
1395,211334.1
1396,187585.15
1397,200686.8025
1398,133095.9825
1399,126395.375
1400,132792.125
1401,197999.9975
1402,117867.205
1403,257539.0475
1404,143477.125
1405,135215.0
1406,91152.885
1407,121801.8125
1408,129564.9925
1409,154033.3725
1410,103631.57
1411,61735.1125
1412,111405.485
1413,135304.0975
1414,122706.65
1415,154653.5325
1416,141145.8525
1417,162166.8375
1418,137359.985
1419,112235.7625
1420,148268.63
1421,153459.91
1422,165021.545
1423,182974.58
1424,184010.345
1425,205579.43
1426,111440.375
1427,121779.755
1428,66458.5125
1429,82246.62
1430,137374.915
1431,76280.8875
1432,109064.2225
1433,61275.8875
1434,290627.4775
1435,269430.6775
1436,196675.335
1437,141711.2775
1438,223707.5225
1439,156921.4675
1440,193495.5775
1441,182483.695
1442,346797.54
1443,342927.845
1444,123863.1825
1445,207844.205
