,0
0,197047.84
1,160523.31
2,207541.17
3,168497.36
4,270626.47
5,149685.72
6,283064.47
7,222295.05
8,165361.5
9,114605.55
10,126692.41
11,326755.0
12,124353.51
13,211445.69
14,145201.86
15,140235.12
16,139005.4
17,103084.14
18,143925.75
19,134360.16
20,290193.3
21,123178.445
22,224350.64
23,134282.58
24,128175.3
25,253333.06
26,126129.16
27,288292.1
28,174696.47
29,65169.914
30,86932.18
31,122137.055
32,203858.98
33,164045.08
34,269563.4
35,298272.2
36,128172.26
37,143427.72
38,129479.7
39,76430.63
40,150237.38
41,147434.66
42,129389.96
43,123964.43
44,125372.31
45,266069.97
46,247232.0
47,245661.8
48,112950.83
49,124446.92
50,167581.89
51,118121.95
52,111483.4
53,301110.4
54,127857.6
55,164067.84
56,183921.05
57,190332.47
58,444248.06
59,118349.72
60,159445.61
61,92372.984
62,202467.28
63,156298.45
64,230633.14
65,293050.34
66,259304.78
67,205647.88
68,83380.18
69,224827.56
70,256201.62
71,118250.97
72,181924.12
73,134974.77
74,111975.66
75,82710.445
76,110346.13
77,122870.56
78,121041.92
79,108435.17
80,186026.42
81,169889.9
82,252422.83
83,119416.82
84,163911.8
85,260419.12
86,171021.92
87,141783.53
88,96626.62
89,108850.13
90,93782.21
91,107222.734
92,115271.65
93,185544.17
94,194241.42
95,168318.9
96,211129.19
97,114364.13
98,86442.984
99,112372.85
100,195454.97
101,171829.28
102,111545.69
103,200417.06
104,168399.6
105,242748.03
106,91226.66
107,102023.32
108,128615.5
109,193039.78
110,146556.56
111,163730.34
112,267537.47
113,200538.67
114,190848.61
115,162774.27
116,124661.164
117,132988.81
118,287453.62
119,164567.88
120,136800.39
121,91742.266
122,133262.16
123,155893.03
124,178225.39
125,92556.86
126,126066.02
127,89926.09
128,140925.48
129,138119.84
130,218854.25
131,208426.03
132,142559.12
133,219310.0
134,172244.25
135,177042.88
136,137137.88
137,210484.16
138,235000.97
139,198781.38
140,100713.93
141,232460.16
142,134535.08
143,208419.97
144,150710.02
145,156674.2
146,103597.586
147,211197.89
148,136595.11
149,99945.96
150,130774.39
151,289169.2
152,193984.28
153,160142.73
154,119115.586
155,91168.22
156,102636.82
157,254383.12
158,213255.75
159,246565.1
160,157913.6
161,416413.06
162,218699.23
163,92490.76
164,145079.75
165,121461.74
166,161647.9
167,306753.12
168,186205.75
169,215817.52
170,128960.8
171,183310.64
172,192912.31
173,155675.98
174,201640.38
175,219525.53
176,208846.61
177,158537.73
178,411047.12
179,104374.74
180,164321.77
181,170363.23
182,116968.74
183,228243.19
184,112605.72
185,399750.38
186,171329.48
187,128058.914
188,143879.22
189,257278.44
190,251019.58
191,168592.53
192,196432.47
193,146219.33
194,120183.67
195,149423.64
196,232214.64
197,291858.4
198,134979.55
199,266466.97
200,122460.734
201,157854.17
202,115267.16
203,135866.16
204,111606.0
205,187584.67
206,143600.34
207,125405.72
208,240212.19
209,141896.19
210,101270.29
211,169520.1
212,223166.95
213,136344.33
214,143465.83
215,136998.7
216,199611.83
217,91763.23
218,206949.81
219,164567.9
220,199020.67
221,201339.1
222,168178.89
223,118603.65
224,389863.78
225,107150.71
226,255689.52
227,94696.27
228,121607.87
229,185387.4
230,130129.734
231,339877.12
232,94409.055
233,118732.09
234,196316.77
235,81365.625
236,186707.86
237,200397.97
238,260708.33
239,128033.66
240,268444.16
241,101858.23
242,107831.09
243,119866.414
244,226673.84
245,230076.92
246,131656.2
247,146831.89
248,186607.67
249,225053.02
250,83771.19
251,261016.61
252,177524.6
253,148117.83
254,136629.44
255,223953.75
256,191361.47
257,223779.42
258,205477.31
259,93469.38
260,161729.7
261,322631.78
