,0
0,122261.78
1,149681.34
2,179451.86
3,182765.66
4,182455.05
5,176235.19
6,163989.06
7,167114.17
8,172366.03
9,115120.89
10,191913.25
11,84116.445
12,90328.34
13,149290.19
14,123678.61
15,380291.4
16,257578.92
17,291049.9
18,211573.92
19,477822.62
20,303826.7
21,202712.84
22,158755.34
23,156397.72
24,164111.06
25,192805.66
26,306779.3
27,228954.58
28,200882.58
29,191609.84
30,183406.66
31,96540.914
32,177767.56
33,279066.28
34,280530.2
35,217476.72
36,158699.25
37,153344.14
38,150416.47
39,142741.53
40,170750.36
41,142655.84
42,287318.3
43,218865.02
44,210475.5
45,182539.72
46,235118.72
47,206265.77
48,162951.48
49,145153.2
50,142205.1
51,166205.83
52,147584.83
53,165249.47
54,193730.16
55,167662.98
56,145650.23
57,121568.7
58,216766.7
59,125597.72
60,135190.44
61,167261.69
62,110118.484
63,120273.86
64,120909.6
65,127653.86
66,96273.016
67,132098.17
68,138351.16
69,166555.61
70,111023.61
71,100343.086
72,139342.23
73,119266.92
74,163374.89
75,110426.1
76,68919.19
77,187527.94
78,197796.08
79,104739.695
80,158836.1
81,145690.33
82,231874.45
83,84381.58
84,99894.68
85,120457.53
86,133891.9
87,129149.516
88,106133.875
89,136642.56
90,107898.7
91,125792.516
92,144269.66
93,105399.54
94,171890.73
95,81337.13
96,111247.57
97,89346.93
98,98412.305
99,136808.52
100,136997.06
101,124144.945
102,116130.195
103,145023.83
104,150590.38
105,215155.02
106,73876.5
107,224152.66
108,119675.33
109,126955.914
110,130926.875
111,143420.88
112,246057.0
113,87612.445
114,195177.23
115,211486.92
116,204195.53
117,140296.03
118,135814.11
119,194560.4
120,135513.7
121,127487.16
122,339669.28
123,232714.5
124,136286.89
125,66334.36
126,93602.28
127,144518.36
128,107188.54
129,129725.125
130,93970.83
131,118087.21
132,120629.49
133,130335.42
134,98218.32
135,229509.23
136,169548.89
137,183133.86
138,184287.11
139,175730.88
140,58750.87
141,109393.87
142,90145.68
143,266170.06
144,243077.67
145,168768.83
146,162017.62
147,216853.2
148,190407.55
149,160597.33
150,140125.8
151,149083.39
152,149648.8
153,119139.42
154,79067.07
155,68821.35
156,85455.06
157,126216.625
158,126852.68
159,143009.22
160,137593.83
161,136390.72
162,296188.06
163,213832.55
164,125876.13
165,171246.61
166,186255.62
167,268064.12
168,175364.03
169,350008.12
170,216139.44
171,241366.92
172,162132.42
173,184542.45
174,181796.52
175,152132.39
176,175043.08
177,209486.98
178,178958.19
179,266469.72
180,180131.48
181,209226.6
182,209632.12
183,214375.2
184,182351.0
185,152379.9
186,160520.55
187,123090.31
188,135989.48
189,118307.45
190,121126.695
191,85013.54
192,89719.805
193,151424.81
194,143236.42
195,147639.39
196,150716.61
197,147193.94
198,132873.45
199,142689.14
200,466242.78
201,397561.56
202,394704.12
203,374201.0
204,315631.28
205,313026.38
206,341714.94
207,331612.9
208,284568.9
209,337147.28
210,264632.44
211,488076.16
212,296964.72
213,243394.97
214,178144.42
215,186679.77
216,220093.53
217,467831.62
218,386287.03
219,312403.78
220,260581.92
221,286624.97
222,175234.19
223,164025.62
224,171665.77
225,163507.0
226,159629.47
227,185044.23
228,183369.28
229,185744.6
