company,rank,revenue,state
Express,954,2116.3,OH
Nordson,919,2254.7,OH
M/I Homes,907,2286.3,OH
Ohio National Mutual,880,2388.7,OH
Cleveland-Cliffs,866,2461.5,OH
Scotts Miracle-Gro,829,2663.4,OH
Verso,824,2682.0,OH
Cooper Tire &amp; Rubber,798,2808.1,OH
Mettler-Toledo International,775,2935.6,OH
Lincoln Electric Holdings,762,3028.7,OH
Andersons,754,3045.4,OH
Applied Industrial Technologies,747,3073.3,OH
Hyster-Yale Materials Handling,733,3174.4,OH
Designer Brands,732,3183.7,OH
Medical Mutual of Ohio,718,3262.1,OH
Aleris,690,3445.9,OH
PolyOne,681,3533.4,OH
Timken,678,3580.8,OH
Worthington Industries,677,3581.6,OH
Abercrombie &amp; Fitch,675,3590.1,OH
Hexion,652,3797.0,OH
TransDigm Group,650,3822.9,OH
Greif,639,3873.8,OH
Worldpay,636,3925.4,OH
Diebold Nixdorf,568,4578.6,OH
Welltower,558,4700.5,OH
Big Lots,525,5238.1,OH
Huntington Bancshares,524,5270.0,OH
RPM International,522,5321.6,OH
Cincinnati Financial,515,5407.5,OH
Cintas,459,6487.4,OH
AK Steel Holding,443,6818.2,OH
Owens-Illinois,438,6877.0,OH
TravelCenters of America,433,6973.6,OH
Owens Corning,431,7057.0,OH
American Financial Group,427,7150.0,OH
Western &amp; Southern Financial Group,421,7205.0,OH
J.M. Smucker,414,7357.1,OH
KeyCorp,413,7393.0,OH
Fifth Third Bancorp,384,7973.0,OH
Dana,373,8143.0,OH
FirstEnergy,263,11864.0,OH
L Brands,241,13236.9,OH
Parker-Hannifin,218,14302.4,OH
Goodyear Tire &amp; Rubber,203,15475.0,OH
American Electric Power,192,16195.7,OH
Sherwin-Williams,177,17534.5,OH
Macy&#8217;s,118,25739.0,OH
Progressive,99,31979.0,OH
Nationwide,73,43270.0,OH
Procter &amp; Gamble,45,66832.0,OH
Marathon Petroleum,31,97102.0,OH
Kroger,20,121162.0,OH
Cardinal Health,16,136809.0,OH
