company,rank,revenue,state
The Sherwin-Williams Company,309,7809.8,OH
"Owens-Illinois, Inc.",318,7523.5,OH
KeyCorp,319,7507.0,OH
Owens Corning,355,6461.0,OH
AK Steel Holding Corporation,378,6069.0,OH
NCR Corporation,374,6142.0,OH
The E.W. Scripps Company,704,2666.3,OH
PolyOne Corporation,713,2632.0,OH
Huntington Bancshares Incorporated,714,2631.6,OH
Greif Incorporated,715,2628.5,OH
"Bob Evans Farms, Inc.",993,1584.8,OH
Mettler-Toledo International Inc.,987,1594.9,OH
A. Schulman Inc.,981,1616.4,OH
Ohio Casualty Corporation,951,1676.3,OH
"Jo-Ann Stores, Inc.",904,1850.6,OH
Cooper Tire & Rubber Company,701,2676.2,OH
"NACCO Industries, Inc.",594,3349.0,OH
Cintas Corp.,589,3403.6,OH
"Manor Care, Inc.",565,3613.2,OH
"Wendy's International, Inc.",562,3660.3,OH
The Lubrizol Corporation,512,4184.6,OH
"American Financial Group, Inc.",503,4254.0,OH
Eaton Corporation,198,12370.0,OH
American Electric Power Company,192,12622.0,OH
National City Corporation,188,12952.7,OH
The Progressive Corporation,159,14786.4,OH
Goodyear Tire & Rubber Company,114,20258.0,OH
Nationwide Mutual Insurance Co.,104,22253.0,OH
American Greetings Corporation,884,1904.1,OH
"Applied Industrial Technologies, Inc.",885,1900.8,OH
"Lincoln Electric Holdings, Inc.",866,1971.9,OH
Cleveland-Cliffs Inc.,861,1995.3,OH
Ferro Corporation,844,2041.5,OH
Medical Mutual of Ohio,847,2039.1,OH
The J.M. Smucker Company,818,2154.7,OH
NewPage Holding Corporation,820,2144.0,OH
Scotts Miracle-Gro Co.,696,2697.1,OH
Convergys Corporation,684,2789.8,OH
"Diebold, Incorporated",665,2906.2,OH
Worthington Industries Inc.,666,2897.2,OH
"Retail Ventures, Inc.",651,3014.1,OH
"RPM International, Inc.",652,3008.3,OH
"Thor Industries, Inc.",643,3066.3,OH
Abercrombie &amp; Fitch Co.,602,3318.2,OH
Cincinnati Financial Corporation,484,4550.0,OH
"Chiquita Brands International, Inc.",488,4499.1,OH
"Aleris International, Inc.",468,4748.8,OH
"Big Lots, Inc.",469,4743.0,OH
Western &amp; Southern Mutual Holding Company,460,4838.1,OH
The Timken Company,428,5301.5,OH
"Hexion Specialty Chemicals, Inc.",433,5233.0,OH
Fifth Third Bancorp,299,8108.0,OH
Parker-Hannifin Corporation,266,9407.6,OH
Dana Corporation,255,9724.0,OH
"Limited Brands, Inc.",240,10670.6,OH
FirstEnergy Corp.,212,11726.0,OH
"Federated Department Stores, Inc.",76,28711.0,OH
The Procter & Gamble Company,25,68222.0,OH
The Kroger Company,26,66111.2,OH
"Cardinal Health, Inc.",19,81895.1,OH
