company,rank,revenue,sector,city,state
Jabil,104,27266.4,Technology,St. Petersburg,FL
Mondelez International,108,26581,"Food, Beverages & Tobacco",Chicago,IL
Paramount Global,109,26186,Media,New York,NY
Netflix,115,24996.1,Media,Los Gatos,CA
Starbucks,125,23518,"Hotels, Restaurants & Leisure",Seattle,WA
US Foods Holding,128,22885,Wholesalers,Rosemont,IL
Danaher,130,22284,Health Care,Washington,DC
American Airlines Group,174,17337,Transportation,Fort Worth,TX
Delta Air Lines,178,17095,Transportation,Atlanta,GA
Philip Morris International,101,28694,"Food, Beverages & Tobacco",New York,NY
Performance Food Group,114,25086.3,Wholesalers,Richmond,VA
TD Synnex,117,24675.6,Wholesalers,Fremont,CA
World Fuel Services,147,20358.3,Energy,Miami,FL
Capital One Financial,99,31643,Financials,McLean,VA
Qualcomm,124,23531,Technology,San Diego,CA
CarMax,136,21424.1,Retailing,Richmond,VA
Dollar General,91,33746.8,Retailing,Goodlettsville,TN
Honeywell International,94,32637,Industrials,Charlotte,NC
3M,96,32184,Chemicals,St. Paul,MN
Travelers,98,31981,Financials,New York,NY
Arrow Electronics,102,28673.4,Wholesalers,Centennial,CO
Northrop Grumman,86,36799,Aerospace & Defense,Falls Church,VA
USAA,87,36296.2,Financials,San Antonio,TX
Northwestern Mutual,90,33782.1,Financials,Milwaukee,WI
Exelon,92,33039,Energy,Chicago,IL
Massachusetts Mutual Life Insurance,123,23663.1,Financials,Springfield,MA
Nucor,149,20139.7,Materials,Charlotte,NC
General Dynamics,84,37925,Aerospace & Defense,Reston,VA
Coca-Cola,93,33014,"Food, Beverages & Tobacco",Atlanta,GA
Thermo Fisher Scientific,95,32218,Technology,Waltham,MA
CHS,103,28406.4,"Food, Beverages & Tobacco",Inver Grove Heights,MN
StoneX Group,58,54139.6,Financials,New York,NY
TIAA,79,41619.3,Financials,New York,NY
Oracle,80,39068,Technology,Austin,TX
Abbott Laboratories,89,34608,Health Care,Abbott Park,IL
Enterprise Products Partners,105,27199.7,Energy,Houston,TX
Plains GP Holdings,127,23290,Energy,Houston,TX
Bristol-Myers Squibb,75,42518,Health Care,New York,NY
American Express,83,38185,Financials,New York,NY
Nike,85,37403,Apparel,Beaverton,OR
Deere,88,35540,Industrials,Moline,IL
Publix Super Markets,69,45204,Food & Drug Stores,Lakeland,FL
Liberty Mutual Insurance Group,71,43796,Financials,Boston,MA
Tyson Foods,73,43185,"Food, Beverages & Tobacco",Springdale,AR
Progressive,74,42658.1,Financials,Mayfield Village,OH
Nationwide,76,41929.8,Financials,Columbus,OH
TJX,97,32137,Retailing,Framingham,MA
ConocoPhillips,156,19256,Energy,Houston,TX
Sysco,60,52893.3,Wholesalers,Houston,TX
Cisco Systems,63,49301,Technology,San Jose,CA
Charter Communications,64,48097,Telecommunications,Stamford,CT
Merck,65,47994,Health Care,Kenilworth,NJ
Best Buy,66,47262,Retailing,Richfield,MN
New York Life Insurance,67,46712.4,Financials,New York,NY
American International Group,72,43736,Financials,New York,NY
Caterpillar,78,41748,Industrials,Deerfield,IL
AbbVie,68,45804,Health Care,North Chicago,IL
Allstate,70,44791,Financials,Northbrook,IL
Dow,82,38542,Chemicals,Midland,MI
Tesla,100,31536,Motor Vehicles & Parts,Palo Alto,CA
Boeing,54,58158,Aerospace & Defense,Chicago,IL
Morgan Stanley,61,52047,Financials,New York,NY
HCA Healthcare,62,51533,Health Care,Nashville,TN
HP,56,56639,Technology,Palo Alto,CA
Raytheon Technologies,57,56587,Aerospace & Defense,Waltham,MA
Goldman Sachs Group,59,53498,Financials,New York,NY
General Electric,38,79619,Industrials,Boston,MA
International Business Machines,42,73620,Technology,Armonk,NY
MetLife,46,67842,Financials,New York,NY
Freddie Mac,47,66228,Financials,McLean,VA
Lockheed Martin,49,65398,Aerospace & Defense,Bethesda,MD
Walt Disney,50,65388,Media,Burbank,CA
Albertsons,52,62455.1,Food & Drug Stores,Boise,ID
Prudential Financial,55,57033,Financials,Newark,NJ
Energy Transfer,81,38954,Energy,Dallas,TX
Citigroup,33,88839,Financials,New York,NY
Intel,40,77867,Technology,Santa Clara,CA
Procter & Gamble,43,70950,Household Products,Cincinnati,OH
PepsiCo,44,70372,"Food, Beverages & Tobacco",Purchase,NY
Pfizer,77,41908,Health Care,New York,NY
Wells Fargo,37,80303,Financials,San Francisco,CA
State Farm Insurance,39,78898,Financials,Bloomington,IL
Humana,41,77155,Health Care,Louisville,KY
FedEx,45,69217,Transportation,Memphis,TN
Archer Daniels Midland,51,64355,"Food, Beverages & Tobacco",Chicago,IL
Bank of America,29,93753,Financials,Charlotte,NC
Lowe's,31,89597,Retailing,Mooresville,NC
Johnson & Johnson,36,82584,Health Care,New Brunswick,NJ
United Parcel Service,35,84628,Transportation,Atlanta,GA
Fannie Mae,25,106437,Financials,Washington,DC
Comcast,26,103564,Telecommunications,Philadelphia,PA
Dell Technologies,28,94224,Technology,Round Rock,TX
Target,30,93561,Retailing,Minneapolis,MN
Phillips 66,48,65494,Energy,Houston,TX
Valero Energy,53,60115,Energy,San Antonio,TX
Kroger,17,132498,Food & Drug Stores,Cincinnati,OH
JPMorgan Chase,19,129503,Financials,New York,NY
Verizon Communications,20,128292,Telecommunications,New York,NY
Ford Motor,21,127144,Motor Vehicles & Parts,Dearborn,MI
General Motors,22,122485,Motor Vehicles & Parts,Detroit,MI
Elevance Health,23,121867,Health Care,Indianapolis,IN
Centene,24,111115,Health Care,St. Louis,MO
Marathon Petroleum,32,88952,Energy,Findlay,OH
Meta Platforms,34,85965,Technology,Menlo Park,CA
AT&T,11,171760,Telecommunications,Dallas,TX
Cigna,13,160401,Health Care,Bloomfield,CT
Cardinal Health,14,152922,Health Care,Dublin,OH
Microsoft,15,143015,Technology,Redmond,WA
Walgreens Boots Alliance,16,139537,Food & Drug Stores,Deerfield,IL
Home Depot,18,132110,Retailing,Atlanta,GA
Chevron,27,94692,Energy,San Ramon,CA
CVS Health,4,268706,Health Care,Woonsocket,RI
UnitedHealth Group,5,257141,Health Care,Minnetonka,MN
Berkshire Hathaway,6,245510,Financials,Omaha,NE
McKesson,7,231051,Health Care,Irving,TX
AmerisourceBergen,8,189893.9,Health Care,Chesterbrook,PA
Alphabet,9,182527,Technology,Mountain View,CA
Exxon Mobil,10,181502,Energy,Irving,TX
Costco Wholesale,12,166761,Retailing,Issaquah,WA
Walmart,1,559151,Retailing,Bentonville,AR
Amazon,2,386064,Retailing,Seattle,WA
Apple,3,274515,Technology,Cupertino,CA
Ashland,869,2377,Chemicals,Wilmington,DE
Beazer Homes USA,931,2127.1,Engineering & Construction,Atlanta,GA
BWX Technologies,932,2123.5,Aerospace & Defense,Lynchburg,VA
Chemed,944,2079.6,Health Care,Cincinnati,OH
Harsco,991,1874.1,Business Services,Camp Hill,PA
New Jersey Resources,972,1953.7,Energy,Wall,NJ
Dropbox,980,1913.9,Technology,San Francisco,CA
Aerojet Rocketdyne Holdings,945,2072.7,Aerospace & Defense,El Segundo,CA
HNI,971,1955.4,Household Products,Muscatine,IA
Sleep Number,998,1856.6,Retailing,Minneapolis,MN
Amedisys,939,2105.9,Health Care,Baton Rouge,LA
LHC Group,947,2063.2,Health Care,Lafayette,LA
Surgery Partners,996,1860.1,Health Care,Brentwood,TN
Spire,999,1855.4,Energy,St. Louis,MO
Woodward,842,2495.7,Aerospace & Defense,Fort Collins,CO
TTM Technologies,905,2249.3,Technology,Santa Ana,CA
Kar Auction Services,913,2187.7,Wholesalers,Carmel,IN
Kirby,920,2171.4,Transportation,Houston,TX
Clear Channel Outdoor Holdings,1000,1854.6,Business Services,San Antonio,TX
GEO Group,883,2350.1,Business Services,Boca Raton,FL
Viasat,892,2309.2,Technology,Carlsbad,CA
Benchmark Electronics,950,2053.1,Technology,Tempe,AZ
AvalonBay Communities,896,2301.3,Financials,Arlington,VA
TTEC Holdings,974,1949.2,Technology,Englewood,CO
E.W. Scripps,979,1915.1,Media,Cincinnati,OH
Entegris,997,1859.3,Technology,Billerica,MA
SBA Communications,942,2083.1,Financials,Boca Raton,FL
Murphy Oil,965,1971.4,Energy,Houston,TX
Cooper-Standard Holdings,870,2375.4,Motor Vehicles & Parts,Northville,MI
Valhi,989,1878.1,Chemicals,Dallas,TX
Stepan,992,1869.8,Chemicals,Northfield,IL
Acadia Healthcare,709,3209.7,Health Care,Franklin,TN
