company,rank,revenue,state
Teradata Corporation,979,1762.0,OH
Invacare Corporation,983,1755.7,OH
"Bob Evans Farms, Inc.",991,1737.0,OH
"OM Group, Inc.",992,1736.8,OH
The E.W. Scripps Company,960,1806.2,OH
American Greetings Corporation,970,1776.8,OH
"Retail Ventures, Inc.",930,1885.0,OH
"Jo-Ann Stores, Inc.",922,1901.1,OH
"Applied Industrial Technologies, Inc.",880,2089.5,OH
A. Schulman Inc.,900,1984.0,OH
Mettler-Toledo International Inc.,904,1973.3,OH
Ferro Corporation,821,2306.1,OH
Medical Mutual of Ohio,806,2387.1,OH
The J.M. Smucker Company,773,2524.8,OH
"Lincoln Electric Holdings, Inc.",784,2479.1,OH
PolyOne Corporation,731,2738.7,OH
"Thor Industries, Inc.",744,2640.7,OH
Cooper Tire & Rubber Company,707,2881.8,OH
Convergys Corporation,721,2785.8,OH
"Worthington Industries, Inc.",680,3067.2,OH
Scotts Miracle-Gro Co.,693,2981.8,OH
"Diebold, Incorporated",665,3170.1,OH
Abercrombie & Fitch Co.,607,3540.3,OH
Huntington Bancshares Incorporated,611,3505.5,OH
"The Andersons, Inc.",617,3489.5,OH
"NACCO Industries, Inc.",589,3680.3,OH
"RPM International, Inc.",594,3643.8,OH
Cliffs Natural Resources Inc.,599,3609.1,OH
Cincinnati Financial Corporation,570,3824.4,OH
"Greif, Inc.",576,3776.8,OH
Cintas Corp.,561,3937.9,OH
"American Financial Group, Inc.",527,4292.7,OH
"Chiquita Brands International, Inc.",508,4524.1,OH
NewPage Holding Corporation,521,4356.0,OH
"Big Lots, Inc.",498,4645.3,OH
The Lubrizol Corporation,471,5027.8,OH
Western & Southern Mutual Holding Company,441,5391.7,OH
NCR Corporation,446,5315.0,OH
Owens Corning,422,5847.0,OH
The Timken Company,431,5663.7,OH
"Hexion Specialty Chemicals, Inc.",407,6093.0,OH
"Aleris International, Inc.",413,5968.2,OH
KeyCorp,382,6499.0,OH
"Owens-Illinois, Inc.",326,7884.7,OH
TravelCenters of America LLC,332,7658.4,OH
AK Steel Holding Corporation,334,7644.3,OH
Fifth Third Bancorp,302,8554.0,OH
Dana Holding Corporation,316,8101.0,OH
The Sherwin-Williams Company,322,7979.7,OH
"Limited Brands, Inc.",290,9043.0,OH
The Progressive Corporation,209,12840.1,OH
Parker-Hannifin Corporation,221,12145.6,OH
FirstEnergy Corp.,194,13627.0,OH
"American Electric Power Company, Inc.",180,14442.0,OH
Eaton Corporation,164,15376.0,OH
Nationwide Mutual Insurance Co.,124,19848.0,OH
The Goodyear Tire & Rubber Company,127,19488.0,OH
"Macy's, Inc.",96,24892.0,OH
"Cardinal Health, Inc.",18,91091.4,OH
The Procter & Gamble Company,20,83503.0,OH
The Kroger Company,22,76000.0,OH
