company,rank,revenue,state
,986,1907.0,OH
,963,1962.0,OH
,939,2067.0,OH
,927,2138.0,OH
,920,2156.0,OH
,867,2330.2,OH
,838,2461.0,OH
,837,2461.1,OH
,810,2593.7,OH
,804,2624.4,OH
,788,2725.1,OH
,772,2792.1,OH
,771,2799.8,OH
,759,2854.7,OH
,757,2857.3,OH
,751,2885.2,OH
,748,2894.9,OH
,741,2936.2,OH
,731,3003.8,OH
,730,3014.1,OH
,672,3452.0,OH
,666,3492.7,OH
,662,3528.9,OH
,649,3591.0,OH
,642,3638.2,OH
,629,3686.3,OH
,600,4026.5,OH
,577,4316.6,OH
,551,4609.3,OH
,544,4740.0,OH
,528,4958.2,OH
,510,5271.0,OH
,500,5428.9,OH
,484,5732.4,OH
,476,5836.3,OH
,465,6051.6,OH
,461,6080.5,OH
,442,6384.0,OH
,413,6865.0,OH
,412,6868.0,OH
,410,6869.0,OH
,393,7209.0,OH
,383,7392.3,OH
,366,7713.0,OH
,256,12029.3,OH
,231,12632.4,OH
,219,13627.0,OH
,190,14983.8,OH
,187,15377.0,OH
,185,15424.9,OH
,120,24837.0,OH
,112,26839.0,OH
,66,43939.9,OH
,42,66217.0,OH
,41,67610.0,OH
,17,122662.0,OH
,14,129976.0,OH
