0,1,2,3,4,5
"{'key': 'rank', 'value': '1000'}","{'key': 'revenues', 'value': '1540.60'}","{'key': 'industry', 'value': 'Information Technology Services'}","{'key': 'hqCity', 'value': 'Fairfax'}","{'key': 'hqState', 'value': 'VA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'SRA International, Inc.'}"
"{'key': 'rank', 'value': '997'}","{'key': 'revenues', 'value': '1547.20'}","{'key': 'industry', 'value': 'Industrial Machinery'}","{'key': 'hqCity', 'value': 'Memphis'}","{'key': 'hqState', 'value': 'TN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Mueller Industries, Inc.'}"
"{'key': 'rank', 'value': '998'}","{'key': 'revenues', 'value': '1546.20'}","{'key': 'industry', 'value': 'Automotive Retailing, Services'}","{'key': 'hqCity', 'value': 'Tulsa'}","{'key': 'hqState', 'value': 'OK'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Dollar Thrifty Automotive Group, Inc.'}"
"{'key': 'rank', 'value': '999'}","{'key': 'revenues', 'value': '1542.80'}","{'key': 'industry', 'value': 'Food Consumer Products'}","{'key': 'hqCity', 'value': 'Minnetonka'}","{'key': 'hqState', 'value': 'MN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Michael Foods, Inc'}"
"{'key': 'rank', 'value': '993'}","{'key': 'revenues', 'value': '1558.50'}","{'key': 'industry', 'value': 'Insurance: Property and Casualty (Stock)'}","{'key': 'hqCity', 'value': 'Branchville'}","{'key': 'hqState', 'value': 'NJ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Selective Insurance Group'}"
"{'key': 'rank', 'value': '994'}","{'key': 'revenues', 'value': '1550.50'}","{'key': 'industry', 'value': 'Health Care: Pharmacy and Other Services'}","{'key': 'hqCity', 'value': 'Clearwater'}","{'key': 'hqState', 'value': 'FL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Lincare Holdings Inc.'}"
"{'key': 'rank', 'value': '995'}","{'key': 'revenues', 'value': '1550.50'}","{'key': 'industry', 'value': 'Energy'}","{'key': 'hqCity', 'value': 'Fairfield'}","{'key': 'hqState', 'value': 'NJ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Covanta Holding Corporation'}"
"{'key': 'rank', 'value': '996'}","{'key': 'revenues', 'value': '1548.10'}","{'key': 'industry', 'value': 'Household and Personal Products'}","{'key': 'hqCity', 'value': 'Richardson'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Fossil, Inc.'}"
"{'key': 'rank', 'value': '989'}","{'key': 'revenues', 'value': '1570.60'}","{'key': 'industry', 'value': 'Energy'}","{'key': 'hqCity', 'value': 'Kansas City'}","{'key': 'hqState', 'value': 'MO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Inergy Holdings, L.P.'}"
"{'key': 'rank', 'value': '990'}","{'key': 'revenues', 'value': '1569.70'}","{'key': 'industry', 'value': 'Specialty Retailers'}","{'key': 'hqCity', 'value': 'Merrimack'}","{'key': 'hqState', 'value': 'NH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'PC Connection, Inc.'}"
"{'key': 'rank', 'value': '991'}","{'key': 'revenues', 'value': '1565.90'}","{'key': 'industry', 'value': 'Transportation Equipment'}","{'key': 'hqCity', 'value': 'Medina'}","{'key': 'hqState', 'value': 'MN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Polaris Industries Inc.'}"
"{'key': 'rank', 'value': '992'}","{'key': 'revenues', 'value': '1564.00'}","{'key': 'industry', 'value': 'Entertainment'}","{'key': 'hqCity', 'value': 'Cincinnati'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Scripps Networks Interactive, Inc.'}"
"{'key': 'rank', 'value': '985'}","{'key': 'revenues', 'value': '1574.40'}","{'key': 'industry', 'value': 'Specialty Retailers'}","{'key': 'hqCity', 'value': 'Nashville'}","{'key': 'hqState', 'value': 'TN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Genesco Inc.'}"
"{'key': 'rank', 'value': '986'}","{'key': 'revenues', 'value': '1574.20'}","{'key': 'industry', 'value': 'Transportation and Logistics'}","{'key': 'hqCity', 'value': 'Concord'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Pacer International, Inc.'}"
"{'key': 'rank', 'value': '987'}","{'key': 'revenues', 'value': '1571.80'}","{'key': 'industry', 'value': 'Health Care: Medical Facilities'}","{'key': 'hqCity', 'value': 'McLean'}","{'key': 'hqState', 'value': 'VA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Sunrise Senior Living, Inc.'}"
"{'key': 'rank', 'value': '988'}","{'key': 'revenues', 'value': '1571.70'}","{'key': 'industry', 'value': 'Insurance: Life, Health (stock)'}","{'key': 'hqCity', 'value': 'Wilmington'}","{'key': 'hqState', 'value': 'DE'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Delphi Financial Group, Inc.'}"
"{'key': 'rank', 'value': '982'}","{'key': 'revenues', 'value': '1580.20'}","{'key': 'industry', 'value': 'Telecommunications'}","{'key': 'hqCity', 'value': 'Fairport'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'PAETEC Holding Corp.'}"
"{'key': 'rank', 'value': '983'}","{'key': 'revenues', 'value': '1579.20'}","{'key': 'industry', 'value': 'Health Care: Pharmacy and Other Services'}","{'key': 'hqCity', 'value': 'Louisville'}","{'key': 'hqState', 'value': 'KY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Res-Care'}"
"{'key': 'rank', 'value': '984'}","{'key': 'revenues', 'value': '1578.00'}","{'key': 'industry', 'value': 'Specialty Retailers'}","{'key': 'hqCity', 'value': 'New York'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'J. Crew Group, Inc.'}"
"{'key': 'rank', 'value': '978'}","{'key': 'revenues', 'value': '1589.70'}","{'key': 'industry', 'value': 'Apparel'}","{'key': 'hqCity', 'value': 'Atlanta'}","{'key': 'hqState', 'value': 'GA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': ""Carter's, Inc.""}"
"{'key': 'rank', 'value': '979'}","{'key': 'revenues', 'value': '1588.90'}","{'key': 'industry', 'value': 'Utilities: Gas and Electric'}","{'key': 'hqCity', 'value': 'Dayton'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'DPL Inc.'}"
"{'key': 'rank', 'value': '980'}","{'key': 'revenues', 'value': '1583.30'}","{'key': 'industry', 'value': 'Chemicals'}","{'key': 'hqCity', 'value': 'Sioux City'}","{'key': 'hqState', 'value': 'IA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Terra Industries Inc.'}"
"{'key': 'rank', 'value': '981'}","{'key': 'revenues', 'value': '1581.60'}","{'key': 'industry', 'value': 'Motor Vehicles and Parts'}","{'key': 'hqCity', 'value': 'Racine'}","{'key': 'hqState', 'value': 'WI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Modine Manufacturing Company'}"
"{'key': 'rank', 'value': '976'}","{'key': 'revenues', 'value': '1601.50'}","{'key': 'industry', 'value': 'Financial Data Services'}","{'key': 'hqCity', 'value': 'Atlanta'}","{'key': 'hqState', 'value': 'GA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Global Payments Inc.'}"
"{'key': 'rank', 'value': '977'}","{'key': 'revenues', 'value': '1596.30'}","{'key': 'industry', 'value': 'Homebuilders'}","{'key': 'hqCity', 'value': 'Red Bank'}","{'key': 'hqState', 'value': 'NJ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Hovnanian Enterprises, Inc.'}"
