0,1,2,3,4,5,6,7,8,9,10
"{'key': 'rank', 'value': '351'}","{'key': 'revenues', 'value': '7710'}","{'key': 'revchange', 'value': '-5.1'}","{'key': 'profits', 'value': '119.9'}","{'key': 'prftchange', 'value': ''}","{'key': 'assets', 'value': '2606'}","{'key': 'mktval', 'value': '1786'}","{'key': 'employees', 'value': '17000'}","{'key': 'rankchange1000', 'value': '-15'}","{'key': 'rankchange', 'value': '-15'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Dean Foods'}"
"{'key': 'rank', 'value': '352'}","{'key': 'revenues', 'value': '7684'}","{'key': 'revchange', 'value': '28.1'}","{'key': 'profits', 'value': '305.9'}","{'key': 'prftchange', 'value': '108.1'}","{'key': 'assets', 'value': '26684'}","{'key': 'mktval', 'value': '24571'}","{'key': 'employees', 'value': '18500'}","{'key': 'rankchange1000', 'value': '79'}","{'key': 'rankchange', 'value': '79'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Zimmer Biomet Holdings'}"
"{'key': 'rank', 'value': '353'}","{'key': 'revenues', 'value': '7669'}","{'key': 'revchange', 'value': '28.2'}","{'key': 'profits', 'value': '602.7'}","{'key': 'prftchange', 'value': '22'}","{'key': 'assets', 'value': '10178'}","{'key': 'mktval', 'value': '7466'}","{'key': 'employees', 'value': '4623'}","{'key': 'rankchange1000', 'value': '80'}","{'key': 'rankchange', 'value': '80'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'PulteGroup'}"
"{'key': 'rank', 'value': '354'}","{'key': 'revenues', 'value': '7654'}","{'key': 'revchange', 'value': '6.2'}","{'key': 'profits', 'value': '601.9'}","{'key': 'prftchange', 'value': '19.5'}","{'key': 'assets', 'value': '23365'}","{'key': 'mktval', 'value': '8561'}","{'key': 'employees', 'value': '7608'}","{'key': 'rankchange1000', 'value': '14'}","{'key': 'rankchange', 'value': '14'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'W.R. Berkley'}"
"{'key': 'rank', 'value': '355'}","{'key': 'revenues', 'value': '7651'}","{'key': 'revchange', 'value': '0.2'}","{'key': 'profits', 'value': '198.4'}","{'key': 'prftchange', 'value': '-36.2'}","{'key': 'assets', 'value': '5354'}","{'key': 'mktval', 'value': '5386'}","{'key': 'employees', 'value': '28100'}","{'key': 'rankchange1000', 'value': '-3'}","{'key': 'rankchange', 'value': '-3'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Quanta Services'}"
"{'key': 'rank', 'value': '356'}","{'key': 'revenues', 'value': '7651'}","{'key': 'revchange', 'value': '-12.6'}","{'key': 'profits', 'value': '-1096.7'}","{'key': 'prftchange', 'value': ''}","{'key': 'assets', 'value': '29459'}","{'key': 'mktval', 'value': '56302'}","{'key': 'employees', 'value': '2650'}","{'key': 'rankchange1000', 'value': '-34'}","{'key': 'rankchange', 'value': '-34'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'EOG Resources'}"
"{'key': 'rank', 'value': '358'}","{'key': 'revenues', 'value': '7639'}","{'key': 'revchange', 'value': '-4'}","{'key': 'profits', 'value': '942.3'}","{'key': 'prftchange', 'value': '7.3'}","{'key': 'assets', 'value': '32053'}","{'key': 'mktval', 'value': '18627'}","{'key': 'employees', 'value': '7762'}","{'key': 'rankchange1000', 'value': '-15'}","{'key': 'rankchange', 'value': '-15'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Eversource Energy'}"
"{'key': 'rank', 'value': '359'}","{'key': 'revenues', 'value': '7625'}","{'key': 'revchange', 'value': '15.6'}","{'key': 'profits', 'value': '120.5'}","{'key': 'prftchange', 'value': '-5.6'}","{'key': 'assets', 'value': '4094'}","{'key': 'mktval', 'value': '2626'}","{'key': 'employees', 'value': '8900'}","{'key': 'rankchange1000', 'value': '32'}","{'key': 'rankchange', 'value': '32'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Anixter International'}"
"{'key': 'rank', 'value': '360'}","{'key': 'revenues', 'value': '7552'}","{'key': 'revchange', 'value': '12.3'}","{'key': 'profits', 'value': '181.9'}","{'key': 'prftchange', 'value': '5.6'}","{'key': 'assets', 'value': '3894'}","{'key': 'mktval', 'value': '3756'}","{'key': 'employees', 'value': '31000'}","{'key': 'rankchange1000', 'value': '21'}","{'key': 'rankchange', 'value': '21'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'EMCOR Group'}"
"{'key': 'rank', 'value': '357'}","{'key': 'revenues', 'value': '7644'}","{'key': 'revchange', 'value': '17.6'}","{'key': 'profits', 'value': '1889'}","{'key': 'prftchange', 'value': '30.5'}","{'key': 'assets', 'value': '223383'}","{'key': 'mktval', 'value': '54555'}","{'key': 'employees', 'value': '16200'}","{'key': 'rankchange1000', 'value': '44'}","{'key': 'rankchange', 'value': '44'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Charles Schwab'}"
"{'key': 'rank', 'value': '949'}","{'key': 'revenues', 'value': '1960'}","{'key': 'revchange', 'value': '-8'}","{'key': 'profits', 'value': '-54.9'}","{'key': 'prftchange', 'value': ''}","{'key': 'assets', 'value': '385'}","{'key': 'mktval', 'value': '4'}","{'key': 'employees', 'value': '4412'}","{'key': 'rankchange1000', 'value': '-12'}","{'key': 'rankchange', 'value': ''}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'hhgregg'}"
"{'key': 'rank', 'value': '950'}","{'key': 'revenues', 'value': '1959'}","{'key': 'revchange', 'value': '10.5'}","{'key': 'profits', 'value': '174.4'}","{'key': 'prftchange', 'value': '76.5'}","{'key': 'assets', 'value': '2713'}","{'key': 'mktval', 'value': '4478'}","{'key': 'employees', 'value': '6200'}","{'key': 'rankchange1000', 'value': ''}","{'key': 'rankchange', 'value': ''}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Euronet Worldwide'}"
"{'key': 'rank', 'value': '20'}","{'key': 'revenues', 'value': '107162'}","{'key': 'revchange', 'value': '-2.9'}","{'key': 'profits', 'value': '12313'}","{'key': 'prftchange', 'value': '12.4'}","{'key': 'assets', 'value': '3287968'}","{'key': 'mktval', 'value': '3011'}","{'key': 'employees', 'value': '7000'}","{'key': 'rankchange1000', 'value': '-4'}","{'key': 'rankchange', 'value': '-4'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Fannie Mae'}"
"{'key': 'rank', 'value': '19'}","{'key': 'revenues', 'value': '107567'}","{'key': 'revchange', 'value': '-18'}","{'key': 'profits', 'value': '-497'}","{'key': 'prftchange', 'value': '-110.8'}","{'key': 'assets', 'value': '260078'}","{'key': 'mktval', 'value': '203263'}","{'key': 'employees', 'value': '55200'}","{'key': 'rankchange1000', 'value': '-5'}","{'key': 'rankchange', 'value': '-5'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Chevron'}"
"{'key': 'rank', 'value': '18'}","{'key': 'revenues', 'value': '115337'}","{'key': 'revchange', 'value': '5'}","{'key': 'profits', 'value': '1975'}","{'key': 'prftchange', 'value': '-3.1'}","{'key': 'assets', 'value': '36505'}","{'key': 'mktval', 'value': '26961'}","{'key': 'employees', 'value': '443000'}","{'key': 'rankchange1000', 'value': '-1'}","{'key': 'rankchange', 'value': '-1'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Kroger'}"
"{'key': 'rank', 'value': '17'}","{'key': 'revenues', 'value': '117351'}","{'key': 'revchange', 'value': '13.4'}","{'key': 'profits', 'value': '4173'}","{'key': 'prftchange', 'value': '-1.1'}","{'key': 'assets', 'value': '72688'}","{'key': 'mktval', 'value': '89645'}","{'key': 'employees', 'value': '300000'}","{'key': 'rankchange1000', 'value': '2'}","{'key': 'rankchange', 'value': '2'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Walgreens Boots Alliance'}"
"{'key': 'rank', 'value': '16'}","{'key': 'revenues', 'value': '118719'}","{'key': 'revchange', 'value': '2.2'}","{'key': 'profits', 'value': '2350'}","{'key': 'prftchange', 'value': '-1.1'}","{'key': 'assets', 'value': '33163'}","{'key': 'mktval', 'value': '73606'}","{'key': 'employees', 'value': '172000'}","{'key': 'rankchange1000', 'value': '-1'}","{'key': 'rankchange', 'value': '-1'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Costco'}"
"{'key': 'rank', 'value': '15'}","{'key': 'revenues', 'value': '121546'}","{'key': 'revchange', 'value': '18.5'}","{'key': 'profits', 'value': '1427'}","{'key': 'prftchange', 'value': '17.4'}","{'key': 'assets', 'value': '34122'}","{'key': 'mktval', 'value': '25725'}","{'key': 'employees', 'value': '37300'}","{'key': 'rankchange1000', 'value': '6'}","{'key': 'rankchange', 'value': '6'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Cardinal Health'}"
"{'key': 'rank', 'value': '14'}","{'key': 'revenues', 'value': '125980'}","{'key': 'revchange', 'value': '-4.3'}","{'key': 'profits', 'value': '13127'}","{'key': 'prftchange', 'value': '-26.6'}","{'key': 'assets', 'value': '244180'}","{'key': 'mktval', 'value': '198900'}","{'key': 'employees', 'value': '160900'}","{'key': 'rankchange1000', 'value': '-1'}","{'key': 'rankchange', 'value': '-1'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Verizon Communications'}"
"{'key': 'rank', 'value': '13'}","{'key': 'revenues', 'value': '126661'}","{'key': 'revchange', 'value': '-9.8'}","{'key': 'profits', 'value': '8831'}","{'key': 'prftchange', 'value': ''}","{'key': 'assets', 'value': '365183'}","{'key': 'mktval', 'value': '259520'}","{'key': 'employees', 'value': '295000'}","{'key': 'rankchange1000', 'value': '-2'}","{'key': 'rankchange', 'value': '-2'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'General Electric'}"
"{'key': 'rank', 'value': '12'}","{'key': 'revenues', 'value': '135987'}","{'key': 'revchange', 'value': '27.1'}","{'key': 'profits', 'value': '2371'}","{'key': 'prftchange', 'value': '297.8'}","{'key': 'assets', 'value': '83402'}","{'key': 'mktval', 'value': '423031'}","{'key': 'employees', 'value': '341400'}","{'key': 'rankchange1000', 'value': '6'}","{'key': 'rankchange', 'value': '6'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Amazon.com'}"
"{'key': 'rank', 'value': '11'}","{'key': 'revenues', 'value': '146850'}","{'key': 'revchange', 'value': '8'}","{'key': 'profits', 'value': '1427.9'}","{'key': 'prftchange', 'value': ''}","{'key': 'assets', 'value': '33656'}","{'key': 'mktval', 'value': '19229'}","{'key': 'employees', 'value': '18500'}","{'key': 'rankchange1000', 'value': '1'}","{'key': 'rankchange', 'value': '1'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'AmerisourceBergen'}"
