0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
"{'key': 'rank', 'value': '1000'}","{'key': 'revenues', 'value': '1955.5'}","{'key': 'revchange', 'value': '127.7'}","{'key': 'profits', 'value': '-61.8'}","{'key': 'prftchange', 'value': ''}","{'key': 'assets', 'value': '991.0'}","{'key': 'mktval', 'value': '8449.9'}","{'key': 'rankchange1000', 'value': ''}","{'key': 'employees', 'value': '3879'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'Carvana'}","{'key': 'sector', 'value': 'Retailing'}","{'key': 'industry', 'value': 'Automotive Retailing, Services'}","{'key': 'hqcity', 'value': 'Tempe'}","{'key': 'hqstate', 'value': 'AZ'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'no'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Carvana'}"
"{'key': 'rank', 'value': '999'}","{'key': 'revenues', 'value': '1958.6'}","{'key': 'revchange', 'value': '14.1'}","{'key': 'profits', 'value': '82.1'}","{'key': 'prftchange', 'value': '-28.1'}","{'key': 'assets', 'value': '1803.9'}","{'key': 'mktval', 'value': '2148.4'}","{'key': 'rankchange1000', 'value': ''}","{'key': 'employees', 'value': '7800'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'ManTech International'}","{'key': 'sector', 'value': 'Technology'}","{'key': 'industry', 'value': 'Information Technology Services'}","{'key': 'hqcity', 'value': 'Herndon'}","{'key': 'hqstate', 'value': 'VA'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'ManTech International'}"
"{'key': 'rank', 'value': '998'}","{'key': 'revenues', 'value': '1961.8'}","{'key': 'revchange', 'value': '8.1'}","{'key': 'profits', 'value': '205.8'}","{'key': 'prftchange', 'value': '39.1'}","{'key': 'assets', 'value': '6349.1'}","{'key': 'mktval', 'value': '2897.7'}","{'key': 'rankchange1000', 'value': ''}","{'key': 'employees', 'value': '1517'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'NuStar Energy'}","{'key': 'sector', 'value': 'Energy'}","{'key': 'industry', 'value': 'Pipelines'}","{'key': 'hqcity', 'value': 'San Antonio'}","{'key': 'hqstate', 'value': 'TX'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'NuStar Energy'}"
"{'key': 'rank', 'value': '997'}","{'key': 'revenues', 'value': '1961.8'}","{'key': 'revchange', 'value': '64.8'}","{'key': 'profits', 'value': '50.4'}","{'key': 'prftchange', 'value': '67.5'}","{'key': 'assets', 'value': '2302.2'}","{'key': 'mktval', 'value': '1384.5'}","{'key': 'rankchange1000', 'value': ''}","{'key': 'employees', 'value': '7094'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'Shutterfly'}","{'key': 'sector', 'value': 'Technology'}","{'key': 'industry', 'value': 'Internet Services and Retailing'}","{'key': 'hqcity', 'value': 'Redwood City'}","{'key': 'hqstate', 'value': 'CA'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Shutterfly'}"
"{'key': 'rank', 'value': '996'}","{'key': 'revenues', 'value': '1965.0'}","{'key': 'revchange', 'value': '12.9'}","{'key': 'profits', 'value': '214.2'}","{'key': 'prftchange', 'value': '32.5'}","{'key': 'assets', 'value': '6843.6'}","{'key': 'mktval', 'value': '4175.4'}","{'key': 'rankchange1000', 'value': ''}","{'key': 'employees', 'value': '3366'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'Spire'}","{'key': 'sector', 'value': 'Energy'}","{'key': 'industry', 'value': 'Utilities: Gas and Electric'}","{'key': 'hqcity', 'value': 'St. Louis'}","{'key': 'hqstate', 'value': 'MO'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'yes'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Spire'}"
"{'key': 'rank', 'value': '995'}","{'key': 'revenues', 'value': '1966.5'}","{'key': 'revchange', 'value': '33.5'}","{'key': 'profits', 'value': '400.2'}","{'key': 'prftchange', 'value': '72.9'}","{'key': 'assets', 'value': '2052.5'}","{'key': 'mktval', 'value': '22743.4'}","{'key': 'rankchange1000', 'value': ''}","{'key': 'employees', 'value': '11660'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'Align Technology'}","{'key': 'sector', 'value': 'Health Care'}","{'key': 'industry', 'value': 'Medical Products and Equipment'}","{'key': 'hqcity', 'value': 'San Jose'}","{'key': 'hqstate', 'value': 'CA'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'yes'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Align Technology'}"
"{'key': 'rank', 'value': '993'}","{'key': 'revenues', 'value': '1976.7'}","{'key': 'revchange', 'value': '12.7'}","{'key': 'profits', 'value': '69.1'}","{'key': 'prftchange', 'value': '-56.9'}","{'key': 'assets', 'value': '3610.2'}","{'key': 'mktval', 'value': '1111.9'}","{'key': 'rankchange1000', 'value': ''}","{'key': 'employees', 'value': '4900'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'Herc Holdings'}","{'key': 'sector', 'value': 'Business Services'}","{'key': 'industry', 'value': 'Equipment Leasing'}","{'key': 'hqcity', 'value': 'Bonita Springs'}","{'key': 'hqstate', 'value': 'FL'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Herc Holdings'}"
"{'key': 'rank', 'value': '993'}","{'key': 'revenues', 'value': '1976.7'}","{'key': 'revchange', 'value': '21.0'}","{'key': 'profits', 'value': '162.0'}","{'key': 'prftchange', 'value': ''}","{'key': 'assets', 'value': '6503.8'}","{'key': 'mktval', 'value': '110.2'}","{'key': 'rankchange1000', 'value': ''}","{'key': 'employees', 'value': '4119'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'HC2 Holdings'}","{'key': 'sector', 'value': 'Engineering & Construction'}","{'key': 'industry', 'value': 'Engineering, Construction'}","{'key': 'hqcity', 'value': 'New York'}","{'key': 'hqstate', 'value': 'NY'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'HC2 Holdings'}"
"{'key': 'rank', 'value': '992'}","{'key': 'revenues', 'value': '1991.0'}","{'key': 'revchange', 'value': '-0.9'}","{'key': 'profits', 'value': '212.0'}","{'key': 'prftchange', 'value': '13.4'}","{'key': 'assets', 'value': '8110.0'}","{'key': 'mktval', 'value': '4631.7'}","{'key': 'rankchange1000', 'value': '-39'}","{'key': 'employees', 'value': '2967'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'Portland General Electric'}","{'key': 'sector', 'value': 'Energy'}","{'key': 'industry', 'value': 'Utilities: Gas and Electric'}","{'key': 'hqcity', 'value': 'Portland'}","{'key': 'hqstate', 'value': 'OR'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'yes'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Portland General Electric'}"
"{'key': 'rank', 'value': '991'}","{'key': 'revenues', 'value': '1991.2'}","{'key': 'revchange', 'value': '-18.8'}","{'key': 'profits', 'value': '4.5'}","{'key': 'prftchange', 'value': ''}","{'key': 'assets', 'value': '1662.0'}","{'key': 'mktval', 'value': '66.1'}","{'key': 'rankchange1000', 'value': '-149'}","{'key': 'employees', 'value': '1851'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'Hovnanian Enterprises'}","{'key': 'sector', 'value': 'Engineering & Construction'}","{'key': 'industry', 'value': 'Homebuilders'}","{'key': 'hqcity', 'value': 'Matawan'}","{'key': 'hqstate', 'value': 'NJ'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Hovnanian Enterprises'}"
