company,rank,revenue,state
Progressive,74,42658.1,OH
Nationwide,76,41929.8,OH
Procter & Gamble,43,70950.0,OH
Kroger,17,132498.0,OH
Marathon Petroleum,32,88952.0,OH
Cardinal Health,14,152922.0,OH
Chemed,944,2079.6,OH
E.W. Scripps,979,1915.1,OH
Ohio National Mutual,914,2181.8,OH
Nordson,934,2121.1,OH
Joann,791,2762.3,OH
Hyster-Yale Materials Handling,782,2812.1,OH
Worthington Industries,738,3059.1,OH
Designer Brands,907,2234.7,OH
Applied Industrial Technologies,701,3245.7,OH
Lincoln Electric Holdings,809,2655.4,OH
Medical Mutual of Ohio,667,3524.2,OH
Abercrombie & Fitch,724,3125.4,OH
Mettler-Toledo International,734,3085.2,OH
M/I Homes,741,3046.1,OH
Diebold Nixdorf,628,3902.3,OH
Timken,669,3513.2,OH
Bread Financial Holdings,569,4521.4,OH
Welltower,561,4606.0,OH
TransDigm Group,516,5182.0,OH
Avient,702,3242.1,OH
Scotts Miracle-Gro,607,4131.6,OH
Vertiv Holdings,590,4370.6,OH
Greif,572,4515.0,OH
RPM International,489,5507.0,OH
Huntington Bancshares,510,5238.0,OH
Big Lots,449,6199.2,OH
O-I Glass,455,6091.0,OH
Cintas,410,7085.1,OH
TravelCenters of America,540,4846.0,OH
American Financial Group,376,7909.0,OH
KeyCorp,396,7337.0,OH
Bath & Body Works,257,11846.9,OH
J.M. Smucker,378,7801.0,OH
Fifth Third Bancorp,358,8402.0,OH
Owens Corning,413,7055.0,OH
Dana,408,7106.0,OH
Western & Southern Financial Group,374,8057.9,OH
Cincinnati Financial,386,7536.3,OH
FirstEnergy,294,10435.0,OH
Andersons,366,8208.4,OH
Parker-Hannifin,223,13695.5,OH
American Electric Power,204,14918.5,OH
Goodyear Tire & Rubber,246,12321.0,OH
Sherwin-Williams,162,18361.7,OH
Cleveland-Cliffs,501,5354.0,OH
Cooper Tire & Rubber,834,2521.1,OH
Hexion,747,3003.0,OH
